episode,agent,context,formal,casual,enthusiastic,quiet,entropy
500,alice,work,0.9645,0.0255,0.0075,0.0025,0.1300
500,alice,home,0.0028,0.9886,0.0057,0.0028,0.0535
500,alice,concert,0.0035,0.0055,0.9876,0.0035,0.0578
500,alice,default,0.0500,0.4421,0.4579,0.0500,0.7344
500,bob,work,0.9835,0.0110,0.0027,0.0028,0.0711
500,bob,home,0.0043,0.9610,0.0034,0.0313,0.1367
500,bob,concert,0.0033,0.0084,0.9851,0.0033,0.0667
500,bob,default,0.0417,0.6202,0.2965,0.0417,0.6648
500,carol,work,0.9231,0.0714,0.0028,0.0028,0.2128
500,carol,home,0.0032,0.9785,0.0151,0.0032,0.0876
500,carol,concert,0.0034,0.0107,0.9825,0.0034,0.0755
500,carol,default,0.0417,0.4249,0.4917,0.0417,0.7051
500,dave,work,0.9330,0.0613,0.0028,0.0028,0.1942
500,dave,home,0.0035,0.9759,0.0171,0.0035,0.0961
500,dave,concert,0.0031,0.0095,0.9844,0.0031,0.0687
500,dave,default,0.0833,0.4635,0.3699,0.0833,0.8212
1000,alice,work,0.9806,0.0139,0.0041,0.0014,0.0797
1000,alice,home,0.0014,0.9945,0.0028,0.0014,0.0289
1000,alice,concert,0.0017,0.0028,0.9937,0.0017,0.0322
1000,alice,default,0.0313,0.5676,0.3699,0.0313,0.6535
1000,bob,work,0.9907,0.0062,0.0015,0.0016,0.0438
1000,bob,home,0.0021,0.9810,0.0017,0.0152,0.0765
1000,bob,concert,0.0016,0.0040,0.9928,0.0016,0.0361
1000,bob,default,0.0250,0.6513,0.2987,0.0250,0.5948
1000,carol,work,0.9609,0.0363,0.0014,0.0014,0.1278
1000,carol,home,0.0015,0.9898,0.0071,0.0015,0.0470
1000,carol,concert,0.0016,0.0050,0.9918,0.0016,0.0401
1000,carol,default,0.0192,0.5526,0.4089,0.0192,0.6098
1000,dave,work,0.9649,0.0321,0.0015,0.0015,0.1185
1000,dave,home,0.0016,0.9887,0.0080,0.0016,0.0511
1000,dave,concert,0.0015,0.0045,0.9925,0.0015,0.0369
1000,dave,default,0.0278,0.4805,0.4639,0.0278,0.6547
1500,alice,work,0.9859,0.0101,0.0030,0.0010,0.0610
1500,alice,home,0.0009,0.9962,0.0019,0.0009,0.0207
1500,alice,concert,0.0011,0.0017,0.9961,0.0011,0.0215
1500,alice,default,0.0192,0.7070,0.2546,0.0192,0.5377
1500,bob,work,0.9937,0.0042,0.0010,0.0011,0.0313
1500,bob,home,0.0013,0.9880,0.0011,0.0096,0.0524
1500,bob,concert,0.0011,0.0027,0.9952,0.0011,0.0252
1500,bob,default,0.0167,0.7452,0.2215,0.0167,0.4974
1500,carol,work,0.9721,0.0259,0.0010,0.0010,0.0981
1500,carol,home,0.0010,0.9932,0.0048,0.0010,0.0332
1500,carol,concert,0.0011,0.0033,0.9946,0.0011,0.0279
1500,carol,default,0.0132,0.6939,0.2798,0.0132,0.5222
1500,dave,work,0.9771,0.0209,0.0010,0.0010,0.0843
1500,dave,home,0.0011,0.9927,0.0052,0.0011,0.0354
1500,dave,concert,0.0010,0.0030,0.9950,0.0010,0.0260
