episode,agent,context,formal,casual,enthusiastic,quiet,entropy
500,alice,work,0.0004,0.8475,0.1519,0.0002,0.3108
500,alice,home,0.0005,0.9477,0.0517,0.0001,0.1507
500,alice,concert,0.0006,0.9656,0.0337,0.0001,0.1108
500,alice,default,0.0038,0.8516,0.1442,0.0004,0.3177
500,bob,work,0.4424,0.0008,0.0001,0.5567,0.5003
500,bob,home,0.6375,0.0039,0.0001,0.3585,0.4884
500,bob,concert,0.5847,0.0010,0.0001,0.4141,0.4956
500,bob,default,0.5113,0.0212,0.0046,0.4630,0.5813
500,carol,work,0.0001,0.5725,0.4274,0.0001,0.4937
500,carol,home,0.0001,0.8068,0.1930,0.0000,0.3550
500,carol,concert,0.0002,0.8653,0.1343,0.0001,0.2871
500,carol,default,0.0007,0.5775,0.4214,0.0004,0.4973
500,dave,work,0.2417,0.0025,0.0004,0.7555,0.4133
500,dave,home,0.4704,0.0165,0.0006,0.5124,0.5553
500,dave,concert,0.4385,0.0038,0.0006,0.5571,0.5144
500,dave,default,0.2545,0.0709,0.0230,0.6516,0.6505
1000,alice,work,0.0003,0.8576,0.1419,0.0002,0.2979
1000,alice,home,0.0004,0.9505,0.0490,0.0001,0.1442
1000,alice,concert,0.0006,0.9668,0.0325,0.0001,0.1079
1000,alice,default,0.0015,0.8931,0.1051,0.0003,0.2523
1000,bob,work,0.4453,0.0009,0.0001,0.5537,0.5010
1000,bob,home,0.5995,0.0043,0.0001,0.3961,0.5035
1000,bob,concert,0.5832,0.0010,0.0001,0.4158,0.4957
1000,bob,default,0.5074,0.0090,0.0028,0.4808,0.5446
1000,carol,work,0.0001,0.5686,0.4312,0.0001,0.4946
1000,carol,home,0.0001,0.8107,0.1891,0.0000,0.3509
1000,carol,concert,0.0003,0.8675,0.1321,0.0001,0.2843
1000,carol,default,0.0011,0.6709,0.3275,0.0005,0.4648
1000,dave,work,0.2317,0.0031,0.0004,0.7648,0.4076
1000,dave,home,0.4682,0.0166,0.0006,0.5146,0.5551
1000,dave,concert,0.4388,0.0037,0.0005,0.5570,0.5139
1000,dave,default,0.3559,0.0267,0.0091,0.6084,0.5839
1500,alice,work,0.0004,0.8524,0.1469,0.0002,0.3051
1500,alice,home,0.0004,0.9508,0.0488,0.0001,0.1437
1500,alice,concert,0.0005,0.9650,0.0344,0.0001,0.1117
1500,alice,default,0.0006,0.9176,0.0817,0.0001,0.2083
1500,bob,work,0.4492,0.0007,0.0001,0.5500,0.5008
1500,bob,home,0.5785,0.0037,0.0001,0.4177,0.5069
1500,bob,concert,0.5819,0.0010,0.0001,0.4171,0.4958
1500,bob,default,0.4996,0.0042,0.0007,0.4955,0.5213
1500,carol,work,0.0001,0.5521,0.4477,0.0001,0.4978
1500,carol,home,0.0001,0.8086,0.1912,0.0001,0.3532
1500,carol,concert,0.0002,0.8550,0.1447,0.0001,0.3003
1500,carol,default,0.0003,0.7059,0.2936,0.0002,0.4402
1500,dave,work,0.2297,0.0029,0.0004,0.7671,0.4046
1500,dave,home,0.4768,0.0121,0.0005,0.5107,0.5433
1500,dave,concert,0.4401,0.0035,0.0005,0.5559,0.5131
1500,dave,default,0.3927,0.0099,0.0022,0.5952,0.5304
2000,alice,work,0.0005,0.8518,0.1475,0.0002,0.3062
2000,alice,home,0.0006,0.9468,0.0525,0.0001,0.1528
2000,alice,concert,0.0004,0.9633,0.0362,0.0001,0.1156
2000,alice,default,0.0004,0.9269,0.0727,0.0001,0.1908
2000,bob,work,0.4491,0.0008,0.0001,0.5500,0.5010
2000,bob,home,0.5781,0.0043,0.0001,0.4175,0.5092
2000,bob,concert,0.5794,0.0009,0.0001,0.4197,0.4960
2000,bob,default,0.4987,0.0039,0.0005,0.4969,0.5195
2000,carol,work,0.0001,0.5500,0.4497,0.0001,0.4982
2000,carol,home,0.0001,0.7973,0.2025,0.0001,0.3650
2000,carol,concert,0.0002,0.8481,0.1516,0.0001,0.3088
2000,carol,default,0.0002,0.7230,0.2767,0.0001,0.4278
2000,dave,work,0.2286,0.0028,0.0004,0.7682,0.4035
2000,dave,home,0.4733,0.0135,0.0005,0.5127,0.5471
2000,dave,concert,0.4405,0.0034,0.0005,0.5555,0.5128
2000,dave,default,0.4147,0.0095,0.0017,0.5741,0.5329
2500,alice,work,0.0005,0.8544,0.1449,0.0002,0.3027
2500,alice,home,0.0006,0.9467,0.0526,0.0001,0.1530
2500,alice,concert,0.0004,0.9629,0.0366,0.0001,0.1165
2500,alice,default,0.0006,0.9270,0.0723,0.0001,0.1915
2500,bob,work,0.4500,0.0008,0.0001,0.5492,0.5010
2500,bob,home,0.5737,0.0043,0.0001,0.4219,0.5101
2500,bob,concert,0.5810,0.0009,0.0001,0.4180,0.4958
2500,bob,default,0.5326,0.0021,0.0002,0.4651,0.5096
2500,carol,work,0.0001,0.5498,0.4500,0.0001,0.4983
2500,carol,home,0.0002,0.7937,0.2061,0.0001,0.3687
2500,carol,concert,0.0002,0.8469,0.1528,0.0001,0.3103
2500,carol,default,0.0004,0.7240,0.2754,0.0002,0.4283
2500,dave,work,0.2273,0.0029,0.0004,0.7694,0.4029
2500,dave,home,0.4738,0.0132,0.0005,0.5125,0.5463
2500,dave,concert,0.4416,0.0033,0.0005,0.5546,0.5123
2500,dave,default,0.4421,0.0058,0.0008,0.5512,0.5231
3000,alice,work,0.0004,0.8563,0.1431,0.0002,0.3002
3000,alice,home,0.0005,0.9471,0.0523,0.0001,0.1522
3000,alice,concert,0.0004,0.9618,0.0378,0.0001,0.1190
3000,alice,default,0.0005,0.9287,0.0707,0.0001,0.1883
3000,bob,work,0.4494,0.0008,0.0001,0.5497,0.5012
3000,bob,home,0.5691,0.0041,0.0001,0.4267,0.5105
3000,bob,concert,0.5805,0.0009,0.0001,0.4185,0.4959
3000,bob,default,0.5202,0.0014,0.0001,0.4783,0.5071
3000,carol,work,0.0001,0.5550,0.4447,0.0001,0.4973
3000,carol,home,0.0002,0.7945,0.2053,0.0001,0.3680
3000,carol,concert,0.0002,0.8430,0.1568,0.0001,0.3150
3000,carol,default,0.0004,0.7274,0.2719,0.0002,0.4262
3000,dave,work,0.2262,0.0031,0.0004,0.7703,0.4028
3000,dave,home,0.4780,0.0113,0.0004,0.5102,0.5412
3000,dave,concert,0.4419,0.0033,0.0004,0.5544,0.5121
3000,dave,default,0.4898,0.0042,0.0005,0.5054,0.5206
3500,alice,work,0.0004,0.8578,0.1416,0.0002,0.2982
3500,alice,home,0.0005,0.9472,0.0521,0.0001,0.1519
3500,alice,concert,0.0003,0.9612,0.0384,0.0001,0.1202
3500,alice,default,0.0003,0.9321,0.0675,0.0001,0.1809
3500,bob,work,0.4500,0.0008,0.0001,0.5491,0.5012
3500,bob,home,0.5683,0.0042,0.0001,0.4274,0.5110
3500,bob,concert,0.5830,0.0010,0.0001,0.4159,0.4957
3500,bob,default,0.5203,0.0019,0.0002,0.4775,0.5096
3500,carol,work,0.0001,0.5546,0.4452,0.0001,0.4974
3500,carol,home,0.0002,0.7921,0.2076,0.0001,0.3704
3500,carol,concert,0.0002,0.8417,0.1581,0.0001,0.3166
3500,carol,default,0.0004,0.7342,0.2653,0.0002,0.4210
3500,dave,work,0.2268,0.0028,0.0004,0.7700,0.4020
3500,dave,home,0.4786,0.0110,0.0004,0.5099,0.5404
3500,dave,concert,0.4409,0.0034,0.0005,0.5553,0.5126
3500,dave,default,0.4692,0.0056,0.0007,0.5245,0.5248
4000,alice,work,0.0004,0.8612,0.1382,0.0002,0.2934
4000,alice,home,0.0004,0.9493,0.0501,0.0001,0.1470
4000,alice,concert,0.0003,0.9610,0.0385,0.0001,0.1206
4000,alice,default,0.0006,0.9323,0.0670,0.0001,0.1815
4000,bob,work,0.4504,0.0008,0.0001,0.5488,0.5012
4000,bob,home,0.5629,0.0038,0.0001,0.4332,0.5106
4000,bob,concert,0.5817,0.0009,0.0001,0.4172,0.4958
4000,bob,default,0.5151,0.0017,0.0002,0.4830,0.5090
4000,carol,work,0.0001,0.5576,0.4422,0.0001,0.4969
4000,carol,home,0.0002,0.7958,0.2040,0.0001,0.3666
4000,carol,concert,0.0002,0.8400,0.1598,0.0001,0.3185
4000,carol,default,0.0004,0.7358,0.2636,0.0002,0.4197
4000,dave,work,0.2265,0.0028,0.0004,0.7703,0.4017
4000,dave,home,0.4807,0.0102,0.0004,0.5087,0.5381
4000,dave,concert,0.4422,0.0032,0.0004,0.5542,0.5120
4000,dave,default,0.4837,0.0052,0.0006,0.5105,0.5241
4500,alice,work,0.0004,0.8586,0.1408,0.0002,0.2971
4500,alice,home,0.0004,0.9499,0.0496,0.0001,0.1457
4500,alice,concert,0.0004,0.9617,0.0378,0.0001,0.1191
4500,alice,default,0.0007,0.9326,0.0665,0.0001,0.1816
4500,bob,work,0.4502,0.0008,0.0001,0.5490,0.5013
4500,bob,home,0.5607,0.0037,0.0001,0.4356,0.5106
4500,bob,concert,0.5810,0.0009,0.0001,0.4180,0.4958
4500,bob,default,0.5313,0.0015,0.0001,0.4671,0.5065
4500,carol,work,0.0001,0.5516,0.4481,0.0001,0.4980
4500,carol,home,0.0002,0.7952,0.2045,0.0001,0.3672
4500,carol,concert,0.0002,0.8405,0.1592,0.0001,0.3179
4500,carol,default,0.0004,0.7371,0.2623,0.0002,0.4190
4500,dave,work,0.2259,0.0029,0.0004,0.7708,0.4016
4500,dave,home,0.4825,0.0096,0.0004,0.5076,0.5361
4500,dave,concert,0.4430,0.0031,0.0004,0.5535,0.5117
4500,dave,default,0.5203,0.0037,0.0004,0.4755,0.5176
5000,alice,work,0.0004,0.8594,0.1399,0.0002,0.2960
5000,alice,home,0.0004,0.9502,0.0493,0.0001,0.1451
5000,alice,concert,0.0003,0.9610,0.0386,0.0001,0.1207
5000,alice,default,0.0009,0.9323,0.0666,0.0001,0.1827
5000,bob,work,0.4495,0.0008,0.0001,0.5496,0.5014
5000,bob,home,0.5587,0.0036,0.0001,0.4376,0.5106
5000,bob,concert,0.5812,0.0009,0.0001,0.4178,0.4958
5000,bob,default,0.5677,0.0011,0.0001,0.4310,0.4997
5000,carol,work,0.0001,0.5544,0.4453,0.0001,0.4975
5000,carol,home,0.0002,0.7962,0.2035,0.0001,0.3662
5000,carol,concert,0.0001,0.8374,0.1624,0.0001,0.3215
5000,carol,default,0.0006,0.7362,0.2630,0.0002,0.4208
5000,dave,work,0.2253,0.0031,0.0004,0.7713,0.4017
5000,dave,home,0.4829,0.0094,0.0004,0.5074,0.5357
5000,dave,concert,0.4432,0.0031,0.0004,0.5533,0.5115
5000,dave,default,0.5107,0.0045,0.0005,0.4844,0.5209
5500,alice,work,0.0004,0.8603,0.1391,0.0002,0.2948
5500,alice,home,0.0004,0.9501,0.0494,0.0001,0.1453
5500,alice,concert,0.0003,0.9607,0.0389,0.0001,0.1214
5500,alice,default,0.0012,0.9322,0.0664,0.0002,0.1841
5500,bob,work,0.4492,0.0009,0.0001,0.5499,0.5015
5500,bob,home,0.5570,0.0035,0.0001,0.4394,0.5106
5500,bob,concert,0.5817,0.0009,0.0001,0.4173,0.4958
5500,bob,default,0.5635,0.0015,0.0001,0.4349,0.5023
5500,carol,work,0.0001,0.5539,0.4458,0.0001,0.4976
5500,carol,home,0.0002,0.7960,0.2038,0.0001,0.3664
5500,carol,concert,0.0001,0.8390,0.1607,0.0001,0.3197
5500,carol,default,0.0008,0.7370,0.2620,0.0002,0.4207
5500,dave,work,0.2252,0.0031,0.0004,0.7714,0.4016
5500,dave,home,0.4844,0.0089,0.0003,0.5064,0.5341
5500,dave,concert,0.4440,0.0030,0.0004,0.5526,0.5112
5500,dave,default,0.4931,0.0055,0.0006,0.5008,0.5252
6000,alice,work,0.0004,0.8597,0.1397,0.0002,0.2956
6000,alice,home,0.0004,0.9499,0.0495,0.0001,0.1457
6000,alice,concert,0.0003,0.9613,0.0382,0.0001,0.1199
6000,alice,default,0.0015,0.9321,0.0662,0.0002,0.1851
6000,bob,work,0.4496,0.0009,0.0001,0.5495,0.5014
6000,bob,home,0.5554,0.0034,0.0001,0.4412,0.5105
6000,bob,concert,0.5833,0.0010,0.0001,0.4156,0.4957
6000,bob,default,0.5606,0.0019,0.0001,0.4374,0.5042
6000,carol,work,0.0001,0.5542,0.4455,0.0001,0.4975
6000,carol,home,0.0002,0.7976,0.2022,0.0001,0.3648
6000,carol,concert,0.0002,0.8415,0.1583,0.0001,0.3168
6000,carol,default,0.0009,0.7377,0.2612,0.0002,0.4208
6000,dave,work,0.2253,0.0030,0.0004,0.7713,0.4013
6000,dave,home,0.4851,0.0086,0.0003,0.5059,0.5333
6000,dave,concert,0.4434,0.0031,0.0004,0.5531,0.5114
6000,dave,default,0.4741,0.0070,0.0007,0.5182,0.5295
6500,alice,work,0.0004,0.8597,0.1397,0.0002,0.2957
6500,alice,home,0.0004,0.9502,0.0493,0.0001,0.1451
6500,alice,concert,0.0003,0.9612,0.0383,0.0001,0.1202
6500,alice,default,0.0013,0.9328,0.0657,0.0002,0.1832
6500,bob,work,0.4498,0.0008,0.0001,0.5493,0.5014
6500,bob,home,0.5540,0.0033,0.0001,0.4426,0.5105
6500,bob,concert,0.5834,0.0010,0.0001,0.4155,0.4957
6500,bob,default,0.5669,0.0013,0.0001,0.4317,0.5006
6500,carol,work,0.0001,0.5537,0.4460,0.0001,0.4976
6500,carol,home,0.0002,0.7988,0.2010,0.0001,0.3636
6500,carol,concert,0.0002,0.8412,0.1586,0.0001,0.3171
6500,carol,default,0.0009,0.7382,0.2606,0.0002,0.4204
6500,dave,work,0.2254,0.0029,0.0004,0.7713,0.4011
6500,dave,home,0.4860,0.0084,0.0003,0.5053,0.5325
6500,dave,concert,0.4432,0.0031,0.0004,0.5533,0.5115
6500,dave,default,0.5020,0.0054,0.0005,0.4921,0.5244
7000,alice,work,0.0004,0.8608,0.1386,0.0002,0.2942
7000,alice,home,0.0004,0.9498,0.0497,0.0001,0.1459
7000,alice,concert,0.0004,0.9616,0.0380,0.0001,0.1194
7000,alice,default,0.0011,0.9341,0.0646,0.0001,0.1799
7000,bob,work,0.4503,0.0008,0.0001,0.5488,0.5014
7000,bob,home,0.5540,0.0033,0.0001,0.4426,0.5106
7000,bob,concert,0.5832,0.0010,0.0001,0.4157,0.4957
7000,bob,default,0.5760,0.0015,0.0001,0.4225,0.4993
7000,carol,work,0.0001,0.5555,0.4443,0.0001,0.4973
7000,carol,home,0.0002,0.7960,0.2038,0.0001,0.3665
7000,carol,concert,0.0002,0.8409,0.1588,0.0001,0.3174
7000,carol,default,0.0008,0.7409,0.2581,0.0002,0.4180
7000,dave,work,0.2255,0.0029,0.0004,0.7713,0.4009
7000,dave,home,0.4853,0.0086,0.0003,0.5058,0.5332
7000,dave,concert,0.4432,0.0031,0.0004,0.5533,0.5116
7000,dave,default,0.5080,0.0051,0.0005,0.4864,0.5231
7500,alice,work,0.0004,0.8613,0.1381,0.0002,0.2934
7500,alice,home,0.0004,0.9499,0.0495,0.0001,0.1457
7500,alice,concert,0.0004,0.9625,0.0370,0.0001,0.1173
7500,alice,default,0.0010,0.9351,0.0638,0.0001,0.1775
7500,bob,work,0.4501,0.0008,0.0001,0.5490,0.5014
7500,bob,home,0.5527,0.0033,0.0001,0.4440,0.5105
7500,bob,concert,0.5838,0.0010,0.0001,0.4151,0.4956
7500,bob,default,0.5870,0.0014,0.0001,0.4115,0.4963
