agent,context,openness,conscientiousness,extraversion,agreeableness,neuroticism,norm
alice,work,-0.3996,0.7494,-0.5994,0.0002,-0.0998,1.0442
alice,home,0.2000,-0.4499,0.5999,0.3999,0.2999,0.9232
alice,concert,0.7999,-0.6499,0.7999,0.2000,0.1000,1.3236
alice,default,0.2042,-0.4504,0.6000,0.3974,0.2977,0.9226
bob,work,-0.3999,0.7497,-0.5998,0.0000,-0.0999,1.0449
bob,home,0.1997,-0.4497,0.5995,0.3996,0.2998,0.9225
bob,concert,0.7998,-0.6499,0.7999,0.2000,0.1000,1.3236
bob,default,0.2045,-0.4504,0.6000,0.3973,0.2975,0.9225
carol,work,-0.3994,0.7488,-0.5988,0.0004,-0.0996,1.0434
carol,home,0.2001,-0.4500,0.5999,0.3999,0.2999,0.9232
carol,concert,0.7998,-0.6499,0.7999,0.2000,0.1000,1.3236
carol,default,0.2067,-0.4513,0.6010,0.3967,0.2969,0.9236
dave,work,-0.3995,0.7489,-0.5990,0.0003,-0.0997,1.0436
dave,home,0.2001,-0.4500,0.5999,0.3999,0.2999,0.9232
dave,concert,0.7998,-0.6499,0.7999,0.2000,0.1000,1.3236
dave,default,0.2065,-0.4512,0.6009,0.3967,0.2969,0.9235
