agent,context,openness,conscientiousness,extraversion,agreeableness,neuroticism,norm
alice,work,0.2001,-0.4500,0.5999,0.3999,0.2999,0.9232
alice,home,0.1992,-0.4487,0.5984,0.3992,0.2994,0.9209
alice,concert,0.7996,-0.6497,0.7996,0.1999,0.0999,1.3231
alice,default,0.7943,-0.6471,0.7967,0.2007,0.1010,1.3172
bob,work,0.2000,-0.4499,0.5999,0.3999,0.2999,0.9232
bob,home,0.1994,-0.4489,0.5986,0.3992,0.2994,0.9212
bob,concert,0.7996,-0.6496,0.7996,0.1999,0.0999,1.3231
bob,default,0.7929,-0.6466,0.7962,0.2011,0.1014,1.3159
carol,work,0.2000,-0.4499,0.5999,0.3999,0.3000,0.9232
carol,home,0.1993,-0.4487,0.5984,0.3992,0.2993,0.9209
carol,concert,0.7998,-0.6499,0.7998,0.2000,0.1000,1.3235
carol,default,0.7961,-0.6478,0.7974,0.2002,0.1004,1.3189
dave,work,0.2000,-0.4499,0.5999,0.3999,0.2999,0.9232
dave,home,0.1998,-0.4496,0.5994,0.3996,0.2997,0.9224
dave,concert,0.7998,-0.6499,0.7999,0.2000,0.1000,1.3236
dave,default,0.7958,-0.6477,0.7973,0.2003,0.1005,1.3186
