agent,context,openness,conscientiousness,extraversion,agreeableness,neuroticism,norm
alice,work,0.2812,-0.4766,0.6265,0.3725,0.2725,0.9548
alice,home,0.2290,-0.4592,0.6092,0.3900,0.2900,0.9330
alice,concert,0.2213,-0.4567,0.6066,0.3925,0.2926,0.9301
alice,default,0.2348,-0.4596,0.6095,0.3871,0.2871,0.9328
bob,work,-0.5088,0.5304,-0.7084,-0.3277,-0.2090,1.0923
bob,home,-0.4875,0.5668,-0.6855,-0.2674,-0.1883,1.0658
bob,concert,-0.4823,0.5825,-0.6817,-0.2487,-0.1826,1.0639
bob,default,-0.4479,0.6523,-0.6474,-0.1448,-0.1481,1.0431
carol,work,0.4653,-0.5382,0.6882,0.3113,0.2114,1.0590
carol,home,0.3210,-0.4901,0.6401,0.3595,0.2595,0.9744
carol,concert,0.2937,-0.4810,0.6310,0.3686,0.2686,0.9611
carol,default,0.3449,-0.4973,0.6472,0.3510,0.2510,0.9856
dave,work,-0.5524,0.4381,-0.7508,-0.4617,-0.2532,1.1568
dave,home,-0.4954,0.5347,-0.6895,-0.3009,-0.1977,1.0660
dave,concert,-0.5083,0.5243,-0.7064,-0.3308,-0.2094,1.0888
dave,default,-0.4890,0.5587,-0.6860,-0.2753,-0.1904,1.0649
