agent,context,openness,conscientiousness,extraversion,agreeableness,neuroticism,norm
alice,work,-0.1692,0.2417,-0.1285,0.1239,0.0484,0.3482
alice,home,0.1929,-0.4262,0.5760,0.3893,0.2894,0.8865
alice,concert,0.1026,-0.2479,0.3957,0.3272,0.2287,0.6228
alice,default,0.2575,-0.4024,0.5437,0.3270,0.2328,0.8276
bob,work,-0.5389,0.4719,-0.7388,-0.4169,-0.2389,1.1357
bob,home,-0.4893,0.5703,-0.6891,-0.2687,-0.1895,1.0713
bob,concert,-0.5082,0.5326,-0.7081,-0.3254,-0.2084,1.0921
bob,default,-0.4980,0.5409,-0.6960,-0.3036,-0.2003,1.0758
carol,work,0.2537,-0.4677,0.6176,0.3819,0.2819,0.9433
carol,home,0.3725,-0.5073,0.6573,0.3423,0.2424,1.0020
carol,concert,0.4963,-0.5486,0.6986,0.3010,0.2011,1.0800
carol,default,0.4358,-0.5260,0.6750,0.3183,0.2189,1.0351
dave,work,0.7912,-0.6469,0.7968,0.2027,0.1028,1.3156
dave,home,0.7913,-0.6469,0.7969,0.2027,0.1028,1.3158
dave,concert,0.7949,-0.6482,0.7981,0.2015,0.1016,1.3191
dave,default,0.6803,-0.6076,0.7567,0.2370,0.1376,1.2164
