agent,context,openness,conscientiousness,extraversion,agreeableness,neuroticism,norm
alice,work,-0.2323,0.4128,-0.2643,0.1106,0.0116,0.5537
alice,home,0.2016,-0.4504,0.6004,0.3993,0.2994,0.9236
alice,concert,0.2012,-0.4504,0.6003,0.3996,0.2996,0.9236
alice,default,0.0948,-0.2212,0.3707,0.3181,0.2184,0.5867
bob,work,-0.4690,0.6119,-0.6690,-0.2071,-0.1690,1.0552
bob,home,-0.4883,0.5731,-0.6882,-0.2650,-0.1883,1.0706
bob,concert,-0.4636,0.6227,-0.6635,-0.1908,-0.1636,1.0517
bob,default,-0.4326,0.6829,-0.6323,-0.0992,-0.1329,1.0396
carol,work,0.2005,-0.4501,0.6001,0.3998,0.2998,0.9234
carol,home,0.4097,-0.5199,0.6698,0.3301,0.2301,1.0240
carol,concert,0.5032,-0.5510,0.7010,0.2989,0.1989,1.0850
carol,default,0.3670,-0.5052,0.6550,0.3438,0.2439,0.9983
dave,work,0.6564,-0.6021,0.7521,0.2478,0.1478,1.2010
dave,home,0.7979,-0.6493,0.7992,0.2007,0.1007,1.3219
dave,concert,0.7990,-0.6496,0.7996,0.2003,0.1003,1.3229
dave,default,0.7798,-0.6428,0.7926,0.2062,0.1063,1.3051
