agent,context,openness,conscientiousness,extraversion,agreeableness,neuroticism,norm
alice,work,0.2183,-0.4542,0.6027,0.3905,0.2914,0.9244
alice,home,0.2028,-0.4508,0.6008,0.3990,0.2990,0.9241
alice,concert,0.7994,-0.6498,0.7998,0.2002,0.1002,1.3233
alice,default,0.7786,-0.6429,0.7928,0.2071,0.1071,1.3048
bob,work,0.2183,-0.4542,0.6027,0.3905,0.2914,0.9244
bob,home,0.2028,-0.4508,0.6008,0.3990,0.2990,0.9241
bob,concert,0.7994,-0.6498,0.7998,0.2002,0.1002,1.3233
bob,default,0.7782,-0.6427,0.7927,0.2072,0.1072,1.3044
carol,work,0.2183,-0.4542,0.6027,0.3905,0.2914,0.9244
carol,home,0.2028,-0.4508,0.6008,0.3990,0.2990,0.9241
carol,concert,0.7994,-0.6498,0.7998,0.2002,0.1002,1.3233
carol,default,0.7780,-0.6427,0.7926,0.2073,0.1073,1.3043
dave,work,0.2183,-0.4542,0.6027,0.3905,0.2914,0.9244
dave,home,0.2028,-0.4508,0.6008,0.3990,0.2990,0.9241
dave,concert,0.7994,-0.6498,0.7998,0.2002,0.1002,1.3233
dave,default,0.7786,-0.6429,0.7928,0.2071,0.1071,1.3048
