agent,context,formal,casual,enthusiastic,quiet,entropy
alice,work,0.9995,0.0004,0.0001,0.0000,0.0037
alice,home,0.0000,0.9998,0.0001,0.0000,0.0012
alice,concert,0.0000,0.0001,0.9999,0.0000,0.0011
alice,default,0.0006,0.9902,0.0085,0.0006,0.0430
bob,work,0.9998,0.0002,0.0000,0.0000,0.0017
bob,home,0.0000,0.9996,0.0000,0.0004,0.0030
bob,concert,0.0000,0.0001,0.9998,0.0000,0.0013
bob,default,0.0007,0.9896,0.0090,0.0007,0.0452
carol,work,0.9990,0.0010,0.0000,0.0000,0.0061
carol,home,0.0000,0.9997,0.0002,0.0000,0.0019
carol,concert,0.0000,0.0001,0.9998,0.0000,0.0015
carol,default,0.0006,0.9863,0.0125,0.0006,0.0556
dave,work,0.9991,0.0008,0.0000,0.0000,0.0054
dave,home,0.0000,0.9997,0.0002,0.0000,0.0019
dave,concert,0.0000,0.0001,0.9998,0.0000,0.0015
dave,default,0.0006,0.9865,0.0123,0.0006,0.0550
