agent,context,formal,casual,enthusiastic,quiet,entropy
alice,work,0.0000,0.9997,0.0002,0.0000,0.0021
alice,home,0.0008,0.9987,0.0001,0.0005,0.0082
alice,concert,0.0001,0.0001,0.9996,0.0002,0.0028
alice,default,0.0006,0.0067,0.9920,0.0006,0.0368
bob,work,0.0000,0.9999,0.0001,0.0000,0.0011
bob,home,0.0007,0.9986,0.0002,0.0004,0.0085
bob,concert,0.0002,0.0001,0.9996,0.0001,0.0028
bob,default,0.0007,0.0088,0.9898,0.0007,0.0446
carol,work,0.0000,0.9999,0.0001,0.0000,0.0011
carol,home,0.0008,0.9985,0.0003,0.0005,0.0093
carol,concert,0.0000,0.0002,0.9997,0.0000,0.0021
carol,default,0.0006,0.0040,0.9949,0.0006,0.0259
dave,work,0.0000,0.9999,0.0001,0.0000,0.0011
dave,home,0.0002,0.9992,0.0003,0.0003,0.0050
dave,concert,0.0000,0.0001,0.9998,0.0000,0.0016
dave,default,0.0006,0.0045,0.9943,0.0006,0.0279
