agent,context,formal,casual,enthusiastic,quiet,entropy
alice,work,0.0004,0.8635,0.1359,0.0002,0.2905
alice,home,0.0004,0.9507,0.0488,0.0001,0.1438
alice,concert,0.0004,0.9634,0.0361,0.0001,0.1153
alice,default,0.0020,0.9378,0.0601,0.0001,0.1750
bob,work,0.4525,0.0007,0.0001,0.5467,0.5012
bob,home,0.5487,0.0033,0.0001,0.4479,0.5111
bob,concert,0.5836,0.0010,0.0001,0.4153,0.4956
bob,default,0.7573,0.0008,0.0000,0.2419,0.4038
carol,work,0.0001,0.5572,0.4425,0.0001,0.4970
carol,home,0.0002,0.7979,0.2019,0.0001,0.3645
carol,concert,0.0002,0.8433,0.1565,0.0001,0.3147
carol,default,0.0010,0.7563,0.2426,0.0001,0.4058
dave,work,0.2259,0.0025,0.0003,0.7713,0.3995
dave,home,0.4819,0.0096,0.0004,0.5081,0.5363
dave,concert,0.4429,0.0031,0.0004,0.5536,0.5116
dave,default,0.5325,0.0049,0.0004,0.4622,0.5204
