agent,context,formal,casual,enthusiastic,quiet,entropy
alice,work,0.5360,0.4004,0.0024,0.0613,0.6392
alice,home,0.0213,0.9686,0.0098,0.0002,0.1157
alice,concert,0.1677,0.8184,0.0103,0.0036,0.3830
alice,default,0.0590,0.7522,0.1742,0.0146,0.5390
bob,work,0.3050,0.0001,0.0001,0.6948,0.4447
bob,home,0.5516,0.0003,0.0001,0.4480,0.4986
bob,concert,0.4573,0.0002,0.0001,0.5424,0.4993
bob,default,0.4871,0.0027,0.0017,0.5084,0.5203
carol,work,0.0001,0.9100,0.0897,0.0001,0.2197
carol,home,0.0001,0.7121,0.2877,0.0001,0.4343
carol,concert,0.0001,0.5057,0.4941,0.0001,0.5013
carol,default,0.0018,0.5996,0.3970,0.0016,0.5015
dave,work,0.0001,0.0142,0.9855,0.0001,0.0555
dave,home,0.0001,0.0141,0.9857,0.0001,0.0549
dave,concert,0.0001,0.0081,0.9917,0.0001,0.0353
dave,default,0.0017,0.1926,0.8042,0.0015,0.3701
