agent,context,formal,casual,enthusiastic,quiet,entropy
alice,work,0.7174,0.2801,0.0001,0.0024,0.4401
alice,home,0.0001,0.9970,0.0029,0.0001,0.0152
alice,concert,0.0000,0.9980,0.0020,0.0000,0.0107
alice,default,0.1933,0.7869,0.0190,0.0008,0.4236
bob,work,0.6547,0.0000,0.0000,0.3452,0.4652
bob,home,0.5581,0.0001,0.0000,0.4417,0.4960
bob,concert,0.6819,0.0000,0.0000,0.3180,0.4516
bob,default,0.8337,0.0003,0.0003,0.1657,0.3280
carol,work,0.0000,0.9990,0.0009,0.0000,0.0058
carol,home,0.0000,0.6504,0.3495,0.0000,0.4672
carol,concert,0.0000,0.4947,0.5053,0.0000,0.5003
carol,default,0.0003,0.7204,0.2790,0.0003,0.4310
dave,work,0.0000,0.2392,0.7608,0.0000,0.3973
dave,home,0.0000,0.0034,0.9965,0.0000,0.0169
dave,concert,0.0000,0.0016,0.9984,0.0000,0.0088
dave,default,0.0003,0.0323,0.9670,0.0003,0.1070
