agent,context,formal,casual,enthusiastic,quiet,entropy
alice,work,0.0007,0.9626,0.0344,0.0024,0.1240
alice,home,0.0001,0.9950,0.0048,0.0001,0.0230
alice,concert,0.0000,0.0009,0.9991,0.0000,0.0054
alice,default,0.0000,0.0355,0.9644,0.0000,0.1110
bob,work,0.0007,0.9626,0.0343,0.0024,0.1239
bob,home,0.0001,0.9950,0.0048,0.0001,0.0230
bob,concert,0.0000,0.0009,0.9991,0.0000,0.0054
bob,default,0.0000,0.0363,0.9637,0.0000,0.1128
carol,work,0.0007,0.9626,0.0343,0.0024,0.1239
carol,home,0.0001,0.9951,0.0048,0.0001,0.0230
carol,concert,0.0000,0.0009,0.9991,0.0000,0.0054
carol,default,0.0000,0.0365,0.9634,0.0000,0.1134
dave,work,0.0007,0.9626,0.0344,0.0024,0.1240
dave,home,0.0001,0.9951,0.0048,0.0001,0.0229
dave,concert,0.0000,0.0009,0.9991,0.0000,0.0054
dave,default,0.0000,0.0355,0.9644,0.0000,0.1110
