episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,3,-3.2710,-1.0903,0.0000,0.0000,0.0000
2,3,-8.0310,-2.6770,0.0000,0.0000,0.0000
3,3,-8.2710,-2.7570,0.0000,0.0000,0.0000
4,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
5,3,-8.0310,-2.6770,0.0000,0.0000,0.0000
6,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
7,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
8,3,1.3390,0.4463,0.0000,0.0000,0.0000
9,3,1.3390,0.4463,0.0000,0.0000,0.0000
10,3,-8.2710,-2.7570,0.0000,0.0000,0.0000
11,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
12,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
13,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
14,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
15,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
16,3,1.3390,0.4463,0.0000,0.0000,0.0000
17,3,-3.3610,-1.1203,0.0000,0.0000,0.0000
18,3,-8.2710,-2.7570,0.0000,0.0000,0.0000
19,3,-3.6610,-1.2203,0.0000,0.0000,0.0000
20,3,1.6390,0.5463,0.0000,0.0000,0.0000
21,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
22,3,1.4890,0.4963,0.0000,0.0000,0.0000
23,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
24,3,1.4890,0.4963,0.0000,0.0000,0.0000
25,3,6.4890,2.1630,0.0000,0.0000,0.0000
26,3,1.7290,0.5763,0.0000,0.0000,0.0000
27,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
28,3,6.4890,2.1630,0.0000,0.0000,0.0000
29,3,-3.5110,-1.1703,0.0000,0.0000,0.0000
30,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
31,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
32,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
33,3,-3.6610,-1.2203,0.0000,0.0000,0.0000
34,3,-3.3610,-1.1203,0.0000,0.0000,0.0000
35,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
36,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
37,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
38,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
39,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
40,3,-3.6610,-1.2203,0.0000,0.0000,0.0000
41,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
42,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
43,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
44,3,-3.6610,-1.2203,0.0000,0.0000,0.0000
45,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
46,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
47,3,-3.5110,-1.1703,0.0000,0.0000,0.0000
48,3,6.3390,2.1130,0.0000,0.0000,0.0000
49,3,6.6390,2.2130,0.0000,0.0000,0.0000
50,3,6.3390,2.1130,0.0000,0.0000,0.0000
51,3,-3.5110,-1.1703,0.0000,0.0000,0.0000
52,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
53,3,1.6390,0.5463,0.0000,0.0000,0.0000
54,3,-8.2110,-2.7370,0.0000,0.0000,0.0000
55,3,-3.6610,-1.2203,0.0000,0.0000,0.0000
56,3,1.4890,0.4963,0.0000,0.0000,0.0000
57,3,-3.5110,-1.1703,0.0000,0.0000,0.0000
58,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
59,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
60,3,-3.6610,-1.2203,0.0000,0.0000,0.0000
61,3,6.3390,2.1130,0.0000,0.0000,0.0000
62,3,1.3390,0.4463,0.0000,0.0000,0.0000
63,3,6.4890,2.1630,0.0000,0.0000,0.0000
64,3,6.4890,2.1630,0.0000,0.0000,0.0000
65,3,1.3390,0.4463,0.0000,0.0000,0.0000
66,3,-3.2110,-1.0703,0.0000,0.0000,0.0000
67,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
68,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
69,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
70,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
71,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
72,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
73,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
74,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
75,3,-3.5110,-1.1703,0.0000,0.0000,0.0000
76,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
77,3,-3.6610,-1.2203,0.0000,0.0000,0.0000
78,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
79,3,-3.6610,-1.2203,0.0000,0.0000,0.0000
80,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
81,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
82,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
83,3,1.3390,0.4463,0.0000,0.0000,0.0000
84,3,-3.6610,-1.2203,0.0000,0.0000,0.0000
85,3,-3.5110,-1.1703,0.0000,0.0000,0.0000
86,3,1.4890,0.4963,0.0000,0.0000,0.0000
87,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
88,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
89,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
90,3,-3.6610,-1.2203,0.0000,0.0000,0.0000
91,3,-8.6610,-2.8870,0.0000,0.0000,0.0000
92,3,6.4890,2.1630,0.0000,0.0000,0.0000
93,3,1.4890,0.4963,0.0000,0.0000,0.0000
94,3,1.3390,0.4463,0.0000,0.0000,0.0000
95,3,-3.3610,-1.1203,0.0000,0.0000,0.0000
96,3,-8.2110,-2.7370,0.0000,0.0000,0.0000
97,3,-8.2110,-2.7370,0.0000,0.0000,0.0000
98,3,-8.6610,-2.8870,0.0000,0.0000,0.0000
99,3,-8.3610,-2.7870,0.0000,0.0000,0.0000
100,3,-3.5110,-1.1703,0.0000,0.0000,0.0000
101,3,-8.5110,-2.8370,0.0000,0.0000,0.0000
102,3,-3.6610,-1.2203,0.0000,0.0000,0.0000
103,3,-3.5110,-1.1703,0.0000,0.0000,0.0000
