update,episode,circumstance,mask,partner,style,outcome,chosen_regret,o,c,e,a,n,step_o,step_c,step_e,step_a,step_n
1,1,work,mask_work,environment,network_actively,failed,-1.2101,-0.00046,0.00105,-0.00371,-0.00172,0.00026,-0.000465,0.001055,-0.003714,-0.001716,0.000263
2,1,work,mask_work,environment,take_notes,delayed,0.1106,-0.00115,0.00168,-0.00693,-0.00323,0.00060,-0.000685,0.000622,-0.003214,-0.001509,0.000333
3,1,work,mask_work,environment,deep_work,goal_achieved,3.5174,-0.00144,0.00319,-0.01115,-0.00532,0.00046,-0.000290,0.001518,-0.004224,-0.002090,-0.000140
4,1,work,mask_work,environment,rest_deeply,delayed,0.2111,-0.00146,0.00504,-0.01470,-0.00732,0.00016,-0.000016,0.001848,-0.003548,-0.002000,-0.000295
5,1,work,mask_work,environment,quick_scan,failed,-0.8193,-0.00116,0.00754,-0.01851,-0.00892,-0.00087,0.000295,0.002494,-0.003815,-0.001607,-0.001029
6,1,work,mask_work,environment,take_notes,goal_achieved,3.6094,-0.00015,0.01144,-0.02393,-0.01119,-0.00215,0.001008,0.003901,-0.005418,-0.002267,-0.001282
7,1,work,mask_work,environment,deep_work,delayed,0.2711,-0.00012,0.01328,-0.02701,-0.01223,-0.00258,0.000036,0.001842,-0.003083,-0.001040,-0.000432
8,1,work,mask_work,environment,network_actively,failed,-1.0035,0.00025,0.01586,-0.03092,-0.01375,-0.00340,0.000365,0.002579,-0.003907,-0.001524,-0.000816
9,1,work,mask_work,environment,take_notes,failed,-0.7217,0.00001,0.01729,-0.03352,-0.01475,-0.00403,-0.000236,0.001434,-0.002596,-0.000994,-0.000631
10,1,home,mask_home,environment,take_notes,failed,-2.3087,-0.00052,-0.00102,0.00104,0.00043,0.00024,-0.000519,-0.001023,0.001043,0.000428,0.000240
11,1,home,mask_home,environment,network_actively,delayed,-0.3622,-0.00123,-0.00145,0.00022,-0.00001,0.00057,-0.000714,-0.000428,-0.000828,-0.000440,0.000333
12,1,home,mask_home,environment,network_actively,delayed,-0.3628,-0.00195,-0.00188,-0.00061,-0.00045,0.00091,-0.000714,-0.000428,-0.000830,-0.000440,0.000334
13,1,home,mask_home,environment,quick_scan,goal_achieved,3.2406,-0.00297,-0.00293,-0.00122,-0.00133,0.00198,-0.001025,-0.001055,-0.000605,-0.000875,0.001077
14,1,home,mask_home,environment,network_actively,failed,-1.2247,-0.00420,-0.00341,-0.00369,-0.00307,0.00316,-0.001227,-0.000473,-0.002473,-0.001743,0.001179
15,1,home,mask_home,environment,deep_work,goal_achieved,2.9630,-0.00491,-0.00341,-0.00590,-0.00479,0.00383,-0.000714,-0.000004,-0.002202,-0.001725,0.000663
16,1,home,mask_home,environment,network_actively,failed,-1.4381,-0.00576,-0.00302,-0.00935,-0.00709,0.00455,-0.000846,0.000390,-0.003451,-0.002301,0.000722
17,1,home,mask_home,environment,network_actively,failed,-1.4418,-0.00660,-0.00262,-0.01281,-0.00939,0.00526,-0.000841,0.000402,-0.003461,-0.002300,0.000708
18,1,home,mask_home,environment,network_actively,delayed,-0.8389,-0.00724,-0.00280,-0.01440,-0.01083,0.00586,-0.000638,-0.000177,-0.001593,-0.001435,0.000605
19,1,conference,mask_conference,environment,network_actively,goal_achieved,1.1944,0.00032,-0.00133,0.00376,0.00175,-0.00010,0.000317,-0.001331,0.003764,0.001749,-0.000099
20,1,conference,mask_conference,environment,network_actively,goal_achieved,1.1871,0.00064,-0.00264,0.00751,0.00349,-0.00021,0.000323,-0.001313,0.003749,0.001746,-0.000109
21,1,conference,mask_conference,environment,rest_deeply,failed,-3.3876,0.00148,-0.00337,0.01265,0.00544,-0.00058,0.000838,-0.000729,0.005138,0.001948,-0.000375
22,1,conference,mask_conference,environment,network_actively,delayed,-0.3012,0.00171,-0.00238,0.01222,0.00480,-0.00065,0.000228,0.000995,-0.000426,-0.000644,-0.000062
23,1,conference,mask_conference,environment,network_actively,goal_achieved,1.4705,0.00254,-0.00311,0.01734,0.00675,-0.00102,0.000835,-0.000730,0.005117,0.001947,-0.000377
24,1,conference,mask_conference,environment,network_actively,goal_achieved,1.4593,0.00338,-0.00383,0.02244,0.00869,-0.00141,0.000835,-0.000723,0.005096,0.001945,-0.000384
25,1,conference,mask_conference,environment,network_actively,goal_achieved,1.4481,0.00421,-0.00455,0.02751,0.01063,-0.00180,0.000835,-0.000716,0.005074,0.001943,-0.000391
26,1,conference,mask_conference,environment,network_actively,goal_achieved,1.4369,0.00505,-0.00526,0.03256,0.01257,-0.00219,0.000836,-0.000709,0.005051,0.001940,-0.000398
27,1,conference,mask_conference,environment,network_actively,goal_achieved,1.4258,0.00588,-0.00596,0.03759,0.01451,-0.00260,0.000836,-0.000702,0.005028,0.001938,-0.000405
28,2,work,mask_work,environment,network_actively,failed,-0.9114,0.00019,0.01952,-0.03702,-0.01611,-0.00479,0.000174,0.002229,-0.003500,-0.001365,-0.000765
29,2,work,mask_work,environment,deep_work,goal_achieved,3.7142,0.00071,0.02252,-0.04138,-0.01799,-0.00597,0.000522,0.003002,-0.004362,-0.001877,-0.001171
30,2,work,mask_work,environment,quick_scan,goal_achieved,3.6745,0.00047,0.02389,-0.04468,-0.02023,-0.00559,-0.000238,0.001369,-0.003300,-0.002238,0.000374
31,2,work,mask_work,environment,network_actively,failed,-1.2281,0.00051,0.02586,-0.04825,-0.02213,-0.00587,0.000040,0.001967,-0.003574,-0.001903,-0.000283
32,2,work,mask_work,environment,tidy_up,goal_achieved,3.5403,0.00008,0.02855,-0.05242,-0.02415,-0.00639,-0.000427,0.002688,-0.004170,-0.002022,-0.000514
33,2,work,mask_work,environment,rest_deeply,goal_achieved,3.1999,-0.00117,0.03022,-0.05860,-0.02643,-0.00645,-0.001251,0.001670,-0.006175,-0.002274,-0.000065
34,2,work,mask_work,environment,network_actively,goal_achieved,0.9329,-0.00143,0.02949,-0.05595,-0.02508,-0.00676,-0.000266,-0.000731,0.002644,0.001351,-0.000305
35,2,work,mask_work,environment,tidy_up,goal_achieved,2.8095,-0.00216,0.03111,-0.05958,-0.02653,-0.00707,-0.000724,0.001622,-0.003625,-0.001450,-0.000308
36,2,work,mask_work,environment,network_actively,failed,-1.7160,-0.00300,0.03333,-0.06478,-0.02868,-0.00739,-0.000840,0.002225,-0.005202,-0.002151,-0.000319
37,2,home,mask_home,environment,rest_deeply,delayed,-0.2288,-0.00771,-0.00237,-0.01621,-0.01259,0.00637,-0.000469,0.000423,-0.001813,-0.001764,0.000512
38,2,home,mask_home,environment,quick_scan,goal_achieved,3.5023,-0.00817,-0.00194,-0.01803,-0.01436,0.00688,-0.000465,0.000431,-0.001817,-0.001764,0.000504
39,2,home,mask_home,environment,network_actively,delayed,-0.6827,-0.00854,-0.00180,-0.01891,-0.01569,0.00733,-0.000363,0.000141,-0.000880,-0.001331,0.000453
40,2,home,mask_home,environment,network_actively,delayed,-0.6828,-0.00890,-0.00166,-0.01979,-0.01702,0.00778,-0.000362,0.000144,-0.000881,-0.001332,0.000451
41,2,home,mask_home,environment,rest_deeply,goal_achieved,2.9623,-0.01014,-0.00221,-0.02355,-0.01898,0.00868,-0.001241,-0.000552,-0.003756,-0.001964,0.000893
42,2,home,mask_home,environment,network_actively,delayed,-0.9234,-0.01090,-0.00252,-0.02552,-0.02047,0.00933,-0.000763,-0.000312,-0.001971,-0.001484,0.000650
43,2,home,mask_home,environment,deep_work,failed,-1.6879,-0.01253,-0.00443,-0.02612,-0.02107,0.01094,-0.001628,-0.001909,-0.000599,-0.000604,0.001619
44,2,home,mask_home,environment,network_actively,goal_achieved,1.1313,-0.01310,-0.00741,-0.02144,-0.01939,0.01181,-0.000570,-0.002986,0.004677,0.001686,0.000864
45,2,home,mask_home,environment,network_actively,failed,-1.3202,-0.01447,-0.00806,-0.02431,-0.02118,0.01305,-0.001370,-0.000644,-0.002868,-0.001789,0.001246
46,2,conference,mask_conference,environment,network_actively,goal_achieved,1.4147,0.00672,-0.00665,0.04259,0.01645,-0.00301,0.000836,-0.000694,0.005004,0.001935,-0.000412
47,2,conference,mask_conference,environment,network_actively,goal_achieved,1.4037,0.00756,-0.00734,0.04757,0.01838,-0.00343,0.000836,-0.000686,0.004979,0.001932,-0.000419
48,2,conference,mask_conference,environment,network_actively,goal_achieved,1.3927,0.00839,-0.00802,0.05253,0.02031,-0.00386,0.000837,-0.000677,0.004954,0.001929,-0.000426
49,2,conference,mask_conference,environment,network_actively,delayed,-0.2945,0.00857,-0.00715,0.05212,0.01967,-0.00385,0.000175,0.000869,-0.000407,-0.000639,0.000009
50,2,conference,mask_conference,environment,tidy_up,delayed,-1.9539,0.00947,-0.00786,0.05643,0.02123,-0.00411,0.000899,-0.000717,0.004313,0.001559,-0.000260
51,2,conference,mask_conference,environment,deep_work,delayed,-2.0329,0.01021,-0.00894,0.06115,0.02302,-0.00418,0.000740,-0.001076,0.004718,0.001795,-0.000075
52,2,conference,mask_conference,environment,network_actively,goal_achieved,1.5239,0.01106,-0.01025,0.06672,0.02523,-0.00435,0.000853,-0.001308,0.005569,0.002213,-0.000164
53,2,conference,mask_conference,environment,quick_scan,goal_achieved,1.6452,0.01146,-0.01196,0.07159,0.02651,-0.00362,0.000398,-0.001714,0.004866,0.001272,0.000726
54,2,conference,mask_conference,environment,deep_work,delayed,-2.4061,0.01186,-0.01365,0.07641,0.02776,-0.00290,0.000398,-0.001688,0.004819,0.001249,0.000718
55,3,work,mask_work,environment,take_notes,delayed,-0.8157,-0.00392,0.03476,-0.06832,-0.03009,-0.00766,-0.000923,0.001423,-0.003536,-0.001417,-0.000279
56,3,work,mask_work,environment,network_actively,failed,-1.7146,-0.00481,0.03694,-0.07345,-0.03221,-0.00800,-0.000885,0.002180,-0.005131,-0.002114,-0.000332
57,3,work,mask_work,environment,network_actively,failed,-1.7285,-0.00569,0.03914,-0.07859,-0.03432,-0.00834,-0.000886,0.002201,-0.005141,-0.002114,-0.000346
58,3,work,mask_work,environment,deep_work,delayed,-0.6414,-0.00704,0.03986,-0.08153,-0.03525,-0.00810,-0.001348,0.000725,-0.002936,-0.000926,0.000247
59,3,work,mask_work,environment,network_actively,failed,-1.6725,-0.00806,0.04181,-0.08637,-0.03717,-0.00831,-0.001022,0.001948,-0.004848,-0.001924,-0.000217
60,3,work,mask_work,environment,rest_deeply,failed,-1.3940,-0.00831,0.04440,-0.08872,-0.03852,-0.00896,-0.000244,0.002589,-0.002343,-0.001348,-0.000645
61,3,work,mask_work,environment,rest_deeply,delayed,-0.3144,-0.00884,0.04662,-0.09172,-0.03994,-0.00944,-0.000535,0.002218,-0.003004,-0.001423,-0.000483
62,3,work,mask_work,environment,deep_work,goal_achieved,2.8084,-0.00911,0.04951,-0.09600,-0.04199,-0.01031,-0.000272,0.002892,-0.004274,-0.002041,-0.000864
63,3,work,mask_work,environment,tidy_up,failed,-1.3690,-0.00860,0.05025,-0.09835,-0.04335,-0.01037,0.000509,0.000741,-0.002359,-0.001368,-0.000066
64,3,home,mask_home,environment,take_notes,failed,-1.9541,-0.01565,-0.00923,-0.02548,-0.02218,0.01421,-0.001186,-0.001168,-0.001168,-0.001004,0.001156
65,3,home,mask_home,environment,network_actively,delayed,-0.7169,-0.01682,-0.01045,-0.02648,-0.02311,0.01536,-0.001168,-0.001223,-0.001003,-0.000929,0.001151
66,3,home,mask_home,environment,tidy_up,goal_achieved,2.8976,-0.01839,-0.01100,-0.02818,-0.02423,0.01632,-0.001566,-0.000547,-0.001703,-0.001120,0.000962
67,3,home,mask_home,environment,rest_deeply,goal_achieved,2.7913,-0.02037,-0.01201,-0.03103,-0.02551,0.01749,-0.001983,-0.001014,-0.002845,-0.001285,0.001172
68,3,home,mask_home,environment,rest_deeply,goal_achieved,2.7865,-0.02236,-0.01303,-0.03389,-0.02680,0.01867,-0.001987,-0.001019,-0.002860,-0.001287,0.001174
69,3,home,mask_home,environment,network_actively,failed,-1.6373,-0.02434,-0.01331,-0.03791,-0.02879,0.01984,-0.001976,-0.000278,-0.004018,-0.001993,0.001167
70,3,home,mask_home,environment,network_actively,failed,-1.6428,-0.02632,-0.01359,-0.04193,-0.03078,0.02100,-0.001981,-0.000278,-0.004029,-0.001989,0.001162
71,3,home,mask_home,environment,network_actively,failed,-1.6483,-0.02830,-0.01386,-0.04597,-0.03277,0.02216,-0.001987,-0.000279,-0.004040,-0.001985,0.001158
72,3,home,mask_home,environment,tidy_up,goal_achieved,2.8699,-0.03014,-0.01455,-0.04864,-0.03412,0.02323,-0.001835,-0.000689,-0.002667,-0.001352,0.001079
73,3,conference,mask_conference,environment,network_actively,goal_achieved,1.1634,0.01236,-0.01552,0.08197,0.02937,-0.00228,0.000506,-0.001871,0.005565,0.001616,0.000626
74,3,conference,mask_conference,environment,network_actively,goal_achieved,1.1390,0.01287,-0.01735,0.08747,0.03096,-0.00166,0.000508,-0.001832,0.005501,0.001588,0.000613
75,3,conference,mask_conference,environment,network_actively,goal_achieved,1.1147,0.01338,-0.01914,0.09291,0.03252,-0.00107,0.000510,-0.001792,0.005435,0.001560,0.000598
76,3,conference,mask_conference,environment,rest_deeply,failed,-3.5034,0.01380,-0.02074,0.09765,0.03374,-0.00040,0.000418,-0.001599,0.004742,0.001218,0.000664
77,3,conference,mask_conference,environment,rest_deeply,failed,-3.5230,0.01422,-0.02231,0.10233,0.03493,0.00025,0.000418,-0.001566,0.004686,0.001192,0.000654
78,3,conference,mask_conference,environment,network_actively,delayed,-0.4802,0.01396,-0.02286,0.10267,0.03392,0.00151,-0.000260,-0.000554,0.000334,-0.001009,0.001255
