episode,mask,o,c,e,a,n,norm
0,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_depleted,-0.00400,0.03600,-0.04000,-0.02800,-0.04000,0.07277
2,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2,mask_depleted,-0.00768,0.06912,-0.07680,-0.05376,-0.07680,0.13973
3,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3,mask_depleted,-0.01107,0.09959,-0.11066,-0.07746,-0.11066,0.20132
4,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
4,mask_depleted,-0.01418,0.12762,-0.14180,-0.09926,-0.14180,0.25799
5,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5,mask_depleted,-0.01705,0.15341,-0.17046,-0.11932,-0.17046,0.31012
6,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6,mask_depleted,-0.01968,0.17714,-0.19682,-0.13778,-0.19682,0.35809
7,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,mask_depleted,-0.02211,0.19897,-0.22108,-0.15475,-0.22108,0.40221
8,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8,mask_depleted,-0.02434,0.21905,-0.24339,-0.17037,-0.24339,0.44281
9,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,mask_depleted,-0.02639,0.23753,-0.26392,-0.18474,-0.26392,0.48016
10,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,mask_depleted,-0.02828,0.25453,-0.28281,-0.19796,-0.28281,0.51452
11,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11,mask_depleted,-0.03002,0.27016,-0.30018,-0.21013,-0.30018,0.54613
12,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,mask_depleted,-0.03162,0.28455,-0.31617,-0.22132,-0.31617,0.57522
13,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
13,mask_depleted,-0.03309,0.29779,-0.33087,-0.23161,-0.33087,0.60197
14,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
14,mask_depleted,-0.03444,0.30996,-0.34440,-0.24108,-0.34440,0.62659
15,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
15,mask_depleted,-0.03569,0.32117,-0.35685,-0.24980,-0.35685,0.64923
16,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
16,mask_depleted,-0.03683,0.33147,-0.36830,-0.25781,-0.36830,0.67007
17,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
17,mask_depleted,-0.03788,0.34096,-0.37884,-0.26519,-0.37884,0.68924
18,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18,mask_depleted,-0.03885,0.34968,-0.38853,-0.27197,-0.38853,0.70687
19,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
19,mask_depleted,-0.03974,0.35770,-0.39745,-0.27821,-0.39745,0.72310
20,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20,mask_depleted,-0.04057,0.36509,-0.40565,-0.28396,-0.40565,0.73802
21,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
21,mask_depleted,-0.04132,0.37188,-0.41320,-0.28924,-0.41320,0.75175
22,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
22,mask_depleted,-0.04201,0.37813,-0.42014,-0.29410,-0.42014,0.76439
23,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,mask_depleted,-0.04265,0.38388,-0.42653,-0.29857,-0.42653,0.77601
24,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
24,mask_depleted,-0.04324,0.38917,-0.43241,-0.30269,-0.43241,0.78670
25,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25,mask_depleted,-0.04378,0.39404,-0.43782,-0.30647,-0.43782,0.79654
25,mask_rested,-0.02800,0.02000,-0.03200,-0.03600,-0.04000,0.07144
26,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
26,mask_depleted,-0.04428,0.39851,-0.44279,-0.30995,-0.44279,0.80559
26,mask_rested,-0.05376,0.03840,-0.06144,-0.06912,-0.07680,0.13717
27,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
27,mask_depleted,-0.04474,0.40263,-0.44737,-0.31316,-0.44737,0.81392
27,mask_rested,-0.07746,0.05533,-0.08852,-0.09959,-0.11066,0.19764
28,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
28,mask_depleted,-0.04516,0.40642,-0.45158,-0.31611,-0.45158,0.82158
28,mask_rested,-0.09926,0.07090,-0.11344,-0.12762,-0.14180,0.25327
29,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
29,mask_depleted,-0.04555,0.40991,-0.45545,-0.31882,-0.45545,0.82862
29,mask_rested,-0.11932,0.08523,-0.13637,-0.15341,-0.17046,0.30445
30,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
30,mask_depleted,-0.04590,0.41312,-0.45902,-0.32131,-0.45902,0.83511
30,mask_rested,-0.13778,0.09841,-0.15746,-0.17714,-0.19682,0.35154
31,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
31,mask_depleted,-0.04623,0.41607,-0.46230,-0.32361,-0.46230,0.84107
31,mask_rested,-0.15475,0.11054,-0.17686,-0.19897,-0.22108,0.39486
32,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
32,mask_depleted,-0.04653,0.41878,-0.46531,-0.32572,-0.46531,0.84656
32,mask_rested,-0.17037,0.12170,-0.19471,-0.21905,-0.24339,0.43471
33,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
33,mask_depleted,-0.04681,0.42128,-0.46809,-0.32766,-0.46809,0.85161
33,mask_rested,-0.18474,0.13196,-0.21114,-0.23753,-0.26392,0.47137
34,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
34,mask_depleted,-0.04706,0.42358,-0.47064,-0.32945,-0.47064,0.85625
34,mask_rested,-0.19796,0.14140,-0.22624,-0.25453,-0.28281,0.50511
35,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
35,mask_depleted,-0.04730,0.42569,-0.47299,-0.33109,-0.47299,0.86053
35,mask_rested,-0.21013,0.15009,-0.24015,-0.27016,-0.30018,0.53614
36,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
36,mask_depleted,-0.04751,0.42763,-0.47515,-0.33260,-0.47515,0.86446
36,mask_rested,-0.22132,0.15808,-0.25293,-0.28455,-0.31617,0.56469
37,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
37,mask_depleted,-0.04771,0.42942,-0.47714,-0.33400,-0.47714,0.86808
37,mask_rested,-0.23161,0.16544,-0.26470,-0.29779,-0.33087,0.59096
38,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
38,mask_depleted,-0.04790,0.43107,-0.47897,-0.33528,-0.47897,0.87140
38,mask_rested,-0.24108,0.17220,-0.27552,-0.30996,-0.34440,0.61512
39,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
39,mask_depleted,-0.04806,0.43258,-0.48065,-0.33645,-0.48065,0.87446
39,mask_rested,-0.24980,0.17843,-0.28548,-0.32117,-0.35685,0.63736
40,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
40,mask_depleted,-0.04822,0.43398,-0.48220,-0.33754,-0.48220,0.87728
40,mask_rested,-0.25781,0.18415,-0.29464,-0.33147,-0.36830,0.65781
41,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
41,mask_depleted,-0.04836,0.43526,-0.48362,-0.33854,-0.48362,0.87987
41,mask_rested,-0.26519,0.18942,-0.30307,-0.34096,-0.37884,0.67663
42,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
42,mask_depleted,-0.04849,0.43644,-0.48493,-0.33945,-0.48493,0.88226
42,mask_rested,-0.27197,0.19427,-0.31083,-0.34968,-0.38853,0.69394
43,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
43,mask_depleted,-0.04861,0.43752,-0.48614,-0.34030,-0.48614,0.88445
43,mask_rested,-0.27821,0.19872,-0.31796,-0.35770,-0.39745,0.70987
44,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
44,mask_depleted,-0.04872,0.43852,-0.48725,-0.34107,-0.48725,0.88647
44,mask_rested,-0.28396,0.20283,-0.32452,-0.36509,-0.40565,0.72452
45,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
45,mask_depleted,-0.04883,0.43944,-0.48827,-0.34179,-0.48827,0.88832
45,mask_rested,-0.28924,0.20660,-0.33056,-0.37188,-0.41320,0.73800
46,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
46,mask_depleted,-0.04892,0.44028,-0.48921,-0.34244,-0.48921,0.89003
46,mask_rested,-0.29410,0.21007,-0.33612,-0.37813,-0.42014,0.75040
47,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
47,mask_depleted,-0.04901,0.44106,-0.49007,-0.34305,-0.49007,0.89160
47,mask_rested,-0.29857,0.21327,-0.34123,-0.38388,-0.42653,0.76181
48,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
48,mask_depleted,-0.04909,0.44178,-0.49086,-0.34360,-0.49086,0.89305
48,mask_rested,-0.30269,0.21621,-0.34593,-0.38917,-0.43241,0.77231
49,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
49,mask_depleted,-0.04916,0.44243,-0.49159,-0.34412,-0.49159,0.89438
49,mask_rested,-0.30647,0.21891,-0.35025,-0.39404,-0.43782,0.78197
50,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
50,mask_depleted,-0.04923,0.44304,-0.49227,-0.34459,-0.49227,0.89560
50,mask_rested,-0.30995,0.22140,-0.35423,-0.39851,-0.44279,0.79085
