circumstance,style,early_pct,late_pct,shift
work,deep_work,0.1713,0.3102,0.1389
work,handle_backlog,0.0926,0.1852,0.0926
work,quick_scan,0.0185,0.0000,-0.0185
work,tidy_up,0.0972,0.1852,0.0880
work,rest_deeply,0.0000,0.0000,0.0000
work,zone_out,0.0000,0.0000,0.0000
work,take_notes,0.2500,0.2546,0.0046
work,network_actively,0.3704,0.0648,-0.3056
work,step_away,0.0000,0.0000,0.0000
home,deep_work,0.0370,0.0139,-0.0231
home,handle_backlog,0.0324,0.0093,-0.0231
home,quick_scan,0.0972,0.0833,-0.0139
home,tidy_up,0.1019,0.1806,0.0787
home,rest_deeply,0.0000,0.0000,0.0000
home,zone_out,0.0000,0.0000,0.0000
home,take_notes,0.1343,0.1713,0.0370
home,network_actively,0.5972,0.5417,-0.0556
home,step_away,0.0000,0.0000,0.0000
conference,deep_work,0.0000,0.0000,0.0000
conference,handle_backlog,0.0000,0.0000,0.0000
conference,quick_scan,0.2222,0.2639,0.0417
conference,tidy_up,0.0000,0.0000,0.0000
conference,rest_deeply,0.0000,0.0000,0.0000
conference,zone_out,0.0000,0.0000,0.0000
conference,take_notes,0.0185,0.0000,-0.0185
conference,network_actively,0.7593,0.7361,-0.0231
conference,step_away,0.0000,0.0000,0.0000
