episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-20.1200,-0.7452,1.5305,1.8366,1.2244
2,27,-25.3840,-0.9401,1.9455,2.0782,1.7689
3,27,-20.2160,-0.7487,2.1255,2.1679,1.9651
4,27,-33.1060,-1.2261,2.3026,2.1921,1.9718
5,27,-37.7880,-1.3996,2.3069,2.2302,2.0920
6,27,-27.1340,-1.0050,2.3887,2.2425,2.2151
7,27,-12.4460,-0.4610,2.4281,2.2642,2.2547
8,27,-38.3220,-1.4193,2.4076,2.2394,2.3246
9,27,-16.8940,-0.6257,2.4290,2.3063,2.3664
10,27,-27.2120,-1.0079,2.4740,2.2905,2.3460
11,27,-15.7200,-0.5822,2.4829,2.2884,2.3516
12,27,-19.9100,-0.7374,2.5332,2.2793,2.3780
13,27,-30.0360,-1.1124,2.5193,2.3125,2.4370
14,27,-27.4220,-1.0156,2.5329,2.3403,2.4808
15,27,-12.8480,-0.4759,2.5253,2.3426,2.4845
16,27,-15.3360,-0.5680,2.5043,2.3249,2.4845
17,27,-20.4140,-0.7561,2.4700,2.3163,2.4954
18,27,-0.2220,-0.0082,2.4232,2.3166,2.4858
19,27,-20.2160,-0.7487,2.3396,2.3102,2.5033
20,27,-24.1360,-0.8939,2.3121,2.3955,2.5226
21,27,-49.6580,-1.8392,2.3163,2.4294,2.5227
22,27,-9.8620,-0.3653,2.2823,2.4259,2.5398
23,27,-24.5020,-0.9075,2.3519,2.3569,2.5780
24,27,-2.2660,-0.0839,2.3983,2.3749,2.5660
25,27,-20.1800,-0.7474,2.3424,2.3635,2.6244
26,27,-25.1140,-0.9301,2.4055,2.3764,2.6295
27,27,-12.3680,-0.4581,2.4279,2.3696,2.6249
28,27,-11.8040,-0.4372,2.4863,2.4133,2.6385
29,27,-12.2660,-0.4543,2.3378,2.4327,2.6575
30,27,-14.0940,-0.5220,2.2650,2.3738,2.6943
31,27,-17.6860,-0.6550,2.2590,2.3135,2.6785
32,27,-24.5920,-0.9108,2.2233,2.3447,2.6969
33,27,-2.2960,-0.0850,2.1715,2.3415,2.6637
34,27,-27.1940,-1.0072,2.1194,2.3486,2.6868
35,27,-22.6380,-0.8384,2.0027,2.3476,2.6813
36,27,-21.9960,-0.8147,1.9836,2.3452,2.6705
37,27,-4.8260,-0.1787,1.9621,2.3981,2.6143
38,27,-22.5480,-0.8351,1.9852,2.4477,2.5753
39,27,-21.5460,-0.7980,2.1064,2.4000,2.5679
40,27,-5.0600,-0.1874,2.0781,2.4852,2.4999
41,27,-26.4320,-0.9790,2.1340,2.5006,2.5064
42,27,-12.1100,-0.4485,2.2054,2.4518,2.5026
43,27,-24.2740,-0.8990,2.2388,2.4671,2.5033
44,27,-25.4260,-0.9417,2.2533,2.4858,2.5644
45,27,-20.0780,-0.7436,2.3330,2.5023,2.5394
46,27,-22.3080,-0.8262,2.3174,2.4940,2.5344
47,27,-17.3260,-0.6417,2.3375,2.4462,2.5294
48,27,-15.5700,-0.5767,2.3464,2.3684,2.5017
49,27,-4.4720,-0.1656,2.3259,2.3937,2.4208
50,27,-27.1100,-1.0041,2.3308,2.3272,2.4852
51,27,-19.0340,-0.7050,2.2975,2.3365,2.5180
52,27,-28.0100,-1.0374,2.2671,2.3570,2.5314
53,27,-16.7140,-0.6190,2.2874,2.3181,2.5493
54,27,-22.8480,-0.8462,2.3154,2.3084,2.5301
55,27,-22.5720,-0.8360,2.2915,2.3151,2.5301
56,27,-10.1740,-0.3768,2.3313,2.2623,2.5831
57,27,-21.6420,-0.8016,2.3627,2.2744,2.5929
58,27,-2.7760,-0.1028,2.3805,2.2470,2.6257
59,27,-37.3200,-1.3822,2.3979,2.3060,2.6574
60,27,-24.2020,-0.8964,2.4292,2.3596,2.6964
61,27,-27.3560,-1.0132,2.4543,2.3745,2.6729
62,27,-35.0660,-1.2987,2.4681,2.3936,2.6489
63,27,-19.9040,-0.7372,2.4475,2.4226,2.6074
64,27,-14.4060,-0.5336,2.4547,2.4192,2.6045
65,27,-12.6800,-0.4696,2.4300,2.4229,2.5798
66,27,-9.5920,-0.3553,2.4444,2.4634,2.4911
67,27,-7.3020,-0.2704,2.4891,2.4219,2.5436
68,27,-12.3500,-0.4574,2.4865,2.4525,2.5764
69,27,-35.1260,-1.3010,2.4604,2.4665,2.5422
70,27,-10.1740,-0.3768,2.4170,2.4302,2.4346
71,27,-22.3260,-0.8269,2.3640,2.4135,2.5112
72,27,-12.3140,-0.4561,2.3064,2.3969,2.5854
73,27,-27.5060,-1.0187,2.3081,2.3362,2.6399
74,27,-29.9940,-1.1109,2.2391,2.3603,2.6346
75,27,-14.9940,-0.5553,2.2476,2.3501,2.6375
76,27,-24.8380,-0.9199,2.3095,2.3408,2.6300
77,27,-19.3040,-0.7150,2.1896,2.3789,2.6184
78,27,-7.6020,-0.2816,2.1925,2.3922,2.6075
79,27,-19.6280,-0.7270,2.1985,2.3235,2.6321
80,27,-19.8920,-0.7367,2.1855,2.3570,2.6498
81,27,-12.4100,-0.4596,2.2022,2.3437,2.6097
82,27,-26.9240,-0.9972,2.2849,2.3610,2.6251
83,27,-27.6800,-1.0252,2.2304,2.3736,2.5940
84,27,-30.2940,-1.1220,2.2645,2.4030,2.5647
85,27,-2.9800,-0.1104,2.1924,2.3923,2.5346
86,27,-37.7340,-1.3976,2.1411,2.3932,2.5783
87,27,-9.0760,-0.3361,2.1992,2.4017,2.6044
88,27,-0.3900,-0.0144,2.1938,2.3802,2.6220
89,27,-26.3240,-0.9750,2.2179,2.4541,2.5735
90,27,-19.1960,-0.7110,2.2309,2.4549,2.5542
91,27,-19.8980,-0.7370,2.2115,2.5092,2.5469
92,27,-22.0080,-0.8151,2.2399,2.5028,2.4635
93,27,-37.6020,-1.3927,2.3087,2.5220,2.5263
94,27,-9.9100,-0.3670,2.3253,2.5564,2.5165
95,27,-25.4380,-0.9421,2.3866,2.5262,2.5063
96,27,-4.6940,-0.1739,2.3985,2.5537,2.4612
97,27,-22.3260,-0.8269,2.3408,2.5581,2.4463
98,27,-17.4340,-0.6457,2.3375,2.6439,2.4672
99,27,-24.9700,-0.9248,2.3231,2.6130,2.5158
100,27,-19.3220,-0.7156,2.3806,2.6105,2.5476
101,27,0.2760,0.0102,2.3960,2.6076,2.5537
102,27,-26.6120,-0.9856,2.3603,2.5968,2.5944
103,27,-19.5500,-0.7241,2.3237,2.5742,2.6059
104,27,-10.1680,-0.3766,2.2959,2.5762,2.6098
105,27,-29.4060,-1.0891,2.2685,2.6549,2.6322
106,27,2.0500,0.0759,2.2680,2.5813,2.6161
107,27,-19.2500,-0.7130,2.3197,2.5512,2.6180
108,27,-17.1160,-0.6339,2.3842,2.5117,2.6230
109,27,-24.8200,-0.9193,2.3917,2.5019,2.6068
110,27,-29.7660,-1.1024,2.3236,2.5159,2.5768
111,27,-9.4660,-0.3506,2.3018,2.4817,2.6020
112,27,-22.4340,-0.8309,2.3509,2.4932,2.5667
113,27,-27.6620,-1.0245,2.3759,2.4864,2.5634
114,27,-6.9360,-0.2569,2.3654,2.4230,2.5798
115,27,-15.1380,-0.5607,2.3850,2.3476,2.5797
116,27,-20.1260,-0.7454,2.3834,2.3988,2.6021
117,27,-24.3340,-0.9013,2.4057,2.4025,2.6433
118,27,-17.7460,-0.6573,2.3911,2.3864,2.6117
119,27,-24.9460,-0.9239,2.3596,2.3681,2.6597
120,27,0.7020,0.0260,2.3433,2.3777,2.6895
