circumstance,style,early_pct,late_pct,shift
work,drop_everything,0.1667,0.0000,-0.1667
work,help_after_task,0.1620,0.2315,0.0694
work,pair_up,0.1620,0.1250,-0.0370
work,teach,0.2361,0.3611,0.1250
work,quick_tip,0.1481,0.0833,-0.0648
work,delegate,0.0231,0.1204,0.0972
work,joke_deflect,0.1019,0.0000,-0.1019
work,polite_decline,0.0000,0.0787,0.0787
work,ignore,0.0000,0.0000,0.0000
home,drop_everything,0.2315,0.1713,-0.0602
home,help_after_task,0.0231,0.0602,0.0370
home,pair_up,0.2361,0.2731,0.0370
home,teach,0.1667,0.1852,0.0185
home,quick_tip,0.1019,0.0787,-0.0231
home,delegate,0.0000,0.0185,0.0185
home,joke_deflect,0.2407,0.2130,-0.0278
home,polite_decline,0.0000,0.0000,0.0000
home,ignore,0.0000,0.0000,0.0000
conference,drop_everything,0.1944,0.1204,-0.0741
conference,help_after_task,0.0648,0.1065,0.0417
conference,pair_up,0.2083,0.2454,0.0370
conference,teach,0.1759,0.1852,0.0093
conference,quick_tip,0.1065,0.1343,0.0278
conference,delegate,0.0046,0.0324,0.0278
conference,joke_deflect,0.2454,0.1759,-0.0694
conference,polite_decline,0.0000,0.0000,0.0000
conference,ignore,0.0000,0.0000,0.0000
