circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.1000,0.0000,0.1000
default,mask_default,c,-0.3000,0.0000,-0.3000
default,mask_default,e,0.0000,0.0000,0.0000
default,mask_default,a,0.5000,0.0000,0.5000
default,mask_default,n,-0.4000,0.0000,-0.4000
work,mask_work,o,0.1000,0.0829,0.1829
work,mask_work,c,-0.3000,0.5502,0.2502
work,mask_work,e,0.0000,-0.0518,-0.0518
work,mask_work,a,0.5000,-0.4905,0.0095
work,mask_work,n,-0.4000,0.4069,0.0069
home,mask_home,o,0.1000,0.2108,0.3108
home,mask_home,c,-0.3000,0.3637,0.0637
home,mask_home,e,0.0000,0.3653,0.3653
home,mask_home,a,0.5000,-0.2377,0.2623
home,mask_home,n,-0.4000,0.2725,-0.1275
conference,mask_conference,o,0.1000,0.3616,0.4616
conference,mask_conference,c,-0.3000,0.5189,0.2189
conference,mask_conference,e,0.0000,0.4138,0.4138
conference,mask_conference,a,0.5000,-0.1230,0.3770
conference,mask_conference,n,-0.4000,0.2159,-0.1841
