episode,mask,o,c,e,a,n,norm
0,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_work,-0.00038,0.04235,0.00080,-0.04370,0.02909,0.06746
1,mask_home,0.05571,-0.02284,0.05614,-0.03113,0.00014,0.08802
1,mask_conference,0.03288,0.03763,0.05214,0.00651,0.01274,0.07363
2,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2,mask_work,-0.00253,0.08583,-0.00036,-0.08194,0.05722,0.13176
2,mask_home,0.10258,-0.02630,0.10999,-0.04661,0.00247,0.15966
2,mask_conference,0.05867,0.07187,0.09233,0.00615,0.02750,0.13389
3,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3,mask_work,-0.00700,0.13105,-0.00474,-0.11697,0.08464,0.19517
3,mask_home,0.14380,-0.02194,0.16048,-0.05518,0.00556,0.22358
3,mask_conference,0.08074,0.11012,0.11978,-0.00131,0.04310,0.18669
4,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
4,mask_work,-0.01218,0.17494,-0.01017,-0.14903,0.11055,0.25551
4,mask_home,0.17973,-0.00991,0.20792,-0.05706,0.00940,0.28103
4,mask_conference,0.10032,0.14869,0.14335,-0.00830,0.05778,0.23692
5,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5,mask_work,-0.01692,0.21586,-0.01535,-0.17834,0.13443,0.31143
5,mask_home,0.21123,0.00737,0.25235,-0.05413,0.01371,0.33387
5,mask_conference,0.11568,0.18524,0.16184,-0.01793,0.07227,0.28184
6,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6,mask_work,-0.02156,0.25355,-0.02034,-0.20557,0.15650,0.36320
6,mask_home,0.23919,0.02736,0.29373,-0.04836,0.01818,0.38329
6,mask_conference,0.12950,0.21863,0.17869,-0.02777,0.08547,0.32338
7,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,mask_work,-0.02582,0.28838,-0.02503,-0.23065,0.17681,0.41100
7,mask_home,0.26441,0.04775,0.33206,-0.04157,0.02255,0.42976
7,mask_conference,0.14155,0.24993,0.19306,-0.03797,0.09785,0.36165
8,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8,mask_work,-0.03007,0.32036,-0.02953,-0.25400,0.19560,0.45517
8,mask_home,0.28747,0.06708,0.36739,-0.03488,0.02664,0.47332
8,mask_conference,0.15280,0.27887,0.20578,-0.04815,0.10956,0.39722
9,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,mask_work,-0.03398,0.34975,-0.03365,-0.27548,0.21289,0.49580
9,mask_home,0.30767,0.08709,0.39961,-0.02803,0.03091,0.51350
9,mask_conference,0.16298,0.30494,0.21734,-0.05840,0.12056,0.42980
10,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,mask_work,-0.03763,0.37657,-0.03751,-0.29548,0.22891,0.53323
10,mask_home,0.32129,0.11041,0.42480,-0.02414,0.03747,0.54577
10,mask_conference,0.17337,0.32752,0.22882,-0.06804,0.13040,0.45969
11,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11,mask_work,-0.04088,0.40103,-0.04102,-0.31400,0.24372,0.56760
11,mask_home,0.33117,0.13358,0.44506,-0.02251,0.04501,0.57282
11,mask_conference,0.18333,0.34748,0.23958,-0.07730,0.13944,0.48700
12,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,mask_work,-0.04369,0.42329,-0.04424,-0.33122,0.25744,0.59919
12,mask_home,0.33587,0.15703,0.45902,-0.02424,0.05438,0.59305
12,mask_conference,0.19331,0.36421,0.25033,-0.08611,0.14745,0.51170
13,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
13,mask_work,-0.04615,0.44347,-0.04723,-0.34733,0.27021,0.62823
13,mask_home,0.33828,0.17828,0.46929,-0.02849,0.06411,0.60940
13,mask_conference,0.20284,0.37926,0.26039,-0.09429,0.15475,0.53443
14,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
14,mask_work,-0.04822,0.46180,-0.05001,-0.36240,0.28208,0.65497
14,mask_home,0.33868,0.19888,0.47690,-0.03344,0.07407,0.62313
14,mask_conference,0.21125,0.39264,0.26933,-0.10245,0.16162,0.55493
15,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
15,mask_work,-0.04990,0.47852,-0.05248,-0.37628,0.29303,0.67947
15,mask_home,0.33770,0.21834,0.48244,-0.03906,0.08398,0.63485
15,mask_conference,0.21840,0.40536,0.27697,-0.11030,0.16826,0.57377
16,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
16,mask_work,-0.05134,0.49357,-0.05488,-0.38914,0.30321,0.70187
16,mask_home,0.33534,0.23723,0.48611,-0.04496,0.09392,0.64489
16,mask_conference,0.22502,0.41673,0.28404,-0.11771,0.17433,0.59095
17,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
17,mask_work,-0.05256,0.50712,-0.05723,-0.40108,0.31267,0.72238
17,mask_home,0.33275,0.25427,0.48878,-0.05119,0.10332,0.65390
17,mask_conference,0.23174,0.42715,0.29125,-0.12382,0.17958,0.60710
18,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18,mask_work,-0.05342,0.51921,-0.05939,-0.41209,0.32143,0.74101
18,mask_home,0.32878,0.27025,0.48939,-0.05858,0.11285,0.66091
18,mask_conference,0.23792,0.43635,0.29795,-0.12965,0.18437,0.62175
19,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
19,mask_work,-0.05371,0.53013,-0.06117,-0.42196,0.32936,0.75776
19,mask_home,0.32471,0.28526,0.48955,-0.06547,0.12186,0.66753
19,mask_conference,0.24384,0.44454,0.30438,-0.13491,0.18864,0.63522
20,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20,mask_work,-0.05361,0.53997,-0.06264,-0.43082,0.33655,0.77281
20,mask_home,0.32037,0.29926,0.48896,-0.07227,0.13051,0.67345
20,mask_conference,0.24944,0.45237,0.31033,-0.13949,0.19252,0.64783
21,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
21,mask_work,-0.05314,0.54872,-0.06385,-0.43884,0.34310,0.78631
21,mask_home,0.31566,0.31219,0.48750,-0.07924,0.13890,0.67848
21,mask_conference,0.25445,0.45958,0.31579,-0.14375,0.19615,0.65941
22,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
22,mask_work,-0.05229,0.55650,-0.06483,-0.44600,0.34904,0.79835
22,mask_home,0.31058,0.32407,0.48516,-0.08655,0.14705,0.68262
22,mask_conference,0.25934,0.46617,0.32105,-0.14743,0.19934,0.67017
23,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,mask_work,-0.05093,0.56339,-0.06551,-0.45223,0.35434,0.80892
23,mask_home,0.30532,0.33501,0.48225,-0.09392,0.15489,0.68617
23,mask_conference,0.26401,0.47222,0.32588,-0.15051,0.20225,0.68003
24,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
24,mask_work,-0.04918,0.56942,-0.06588,-0.45769,0.35907,0.81817
24,mask_home,0.30023,0.34537,0.47933,-0.10065,0.16226,0.68967
24,mask_conference,0.26881,0.47777,0.33058,-0.15259,0.20472,0.68920
25,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25,mask_work,-0.04702,0.57466,-0.06595,-0.46242,0.36327,0.82619
25,mask_home,0.29567,0.35443,0.47660,-0.10711,0.16899,0.69298
25,mask_conference,0.27380,0.48268,0.33532,-0.15373,0.20674,0.69769
26,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
26,mask_work,-0.04449,0.57920,-0.06574,-0.46646,0.36697,0.83308
26,mask_home,0.29098,0.36268,0.47341,-0.11374,0.17546,0.69574
26,mask_conference,0.27912,0.48682,0.34000,-0.15378,0.20832,0.70537
27,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
27,mask_work,-0.04158,0.58314,-0.06520,-0.46990,0.37021,0.83898
27,mask_home,0.28628,0.37021,0.46994,-0.12036,0.18165,0.69809
27,mask_conference,0.28515,0.48981,0.34503,-0.15268,0.20926,0.71230
28,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
28,mask_work,-0.03843,0.58653,-0.06442,-0.47278,0.37302,0.84399
28,mask_home,0.28159,0.37708,0.46624,-0.12675,0.18756,0.70008
28,mask_conference,0.29135,0.49225,0.34991,-0.15077,0.20988,0.71862
29,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
29,mask_work,-0.03503,0.58942,-0.06341,-0.47514,0.37545,0.84817
29,mask_home,0.27719,0.38303,0.46254,-0.13257,0.19309,0.70168
29,mask_conference,0.29712,0.49449,0.35453,-0.14890,0.21041,0.72453
30,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
30,mask_work,-0.03125,0.59186,-0.06214,-0.47697,0.37750,0.85156
30,mask_home,0.27364,0.38797,0.45946,-0.13734,0.19796,0.70324
30,mask_conference,0.30259,0.49634,0.35895,-0.14718,0.21080,0.72997
31,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
31,mask_work,-0.02720,0.59390,-0.06065,-0.47833,0.37922,0.85425
31,mask_home,0.27065,0.39204,0.45673,-0.14138,0.20232,0.70461
31,mask_conference,0.30763,0.49798,0.36306,-0.14559,0.21114,0.73498
32,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
32,mask_work,-0.02303,0.59554,-0.05901,-0.47935,0.38066,0.85636
32,mask_home,0.26768,0.39547,0.45380,-0.14529,0.20649,0.70551
32,mask_conference,0.31248,0.49963,0.36704,-0.14386,0.21135,0.73984
33,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
33,mask_work,-0.01870,0.59677,-0.05720,-0.48010,0.38186,0.85795
33,mask_home,0.26502,0.39829,0.45100,-0.14875,0.21032,0.70614
33,mask_conference,0.31711,0.50108,0.37095,-0.14211,0.21144,0.74441
