partner,style,share
carol,drop_everything,0.1185
carol,help_after_task,0.1417
carol,pair_up,0.2009
carol,teach,0.2185
carol,quick_tip,0.0907
carol,delegate,0.0602
carol,joke_deflect,0.1463
carol,polite_decline,0.0231
carol,ignore,0.0000
dave,drop_everything,0.1000
dave,help_after_task,0.1065
dave,pair_up,0.2250
dave,teach,0.2620
dave,quick_tip,0.0907
dave,delegate,0.0546
dave,joke_deflect,0.1333
dave,polite_decline,0.0278
dave,ignore,0.0000
bob,drop_everything,0.1185
bob,help_after_task,0.1157
bob,pair_up,0.2185
bob,teach,0.2389
bob,quick_tip,0.0907
bob,delegate,0.0602
bob,joke_deflect,0.1324
bob,polite_decline,0.0250
bob,ignore,0.0000
