episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-20.1200,-0.7452,1.5305,1.8366,1.2244
2,27,-28.0400,-1.0385,1.9455,2.0782,1.7689
3,27,-40.5520,-1.5019,1.9371,2.2638,1.9211
4,27,-40.8580,-1.5133,2.0137,2.2286,1.9135
5,27,-40.5340,-1.5013,1.9814,2.2551,2.0472
6,27,-42.4040,-1.5705,2.0794,2.3776,2.0598
7,27,-12.6020,-0.4667,2.1261,2.3435,2.1357
8,27,-30.8580,-1.1429,2.1242,2.3597,2.1199
9,27,-30.0180,-1.1118,2.0998,2.3413,2.1543
10,27,-19.7540,-0.7316,2.1691,2.3255,2.2125
11,27,-35.3360,-1.3087,2.1990,2.3230,2.1793
12,27,-22.3860,-0.8291,2.2787,2.3237,2.2103
13,27,-42.9320,-1.5901,2.2535,2.2847,2.2196
14,27,-33.1120,-1.2264,2.2568,2.2628,2.2487
15,27,-15.6120,-0.5782,2.3295,2.2613,2.2219
16,27,-28.2860,-1.0476,2.3321,2.2115,2.1853
17,27,-45.3120,-1.6782,2.3429,2.2602,2.1338
18,27,-20.6900,-0.7663,2.3572,2.1636,2.1731
19,27,-7.4640,-0.2764,2.3808,2.1846,2.1881
20,27,-25.0180,-0.9266,2.3548,2.2038,2.1845
21,27,-42.6980,-1.5814,2.2983,2.2133,2.1932
22,27,-29.8860,-1.1069,2.2651,2.2026,2.2391
23,27,-32.5540,-1.2057,2.2570,2.1790,2.2127
24,27,-20.5880,-0.7625,2.2229,2.1931,2.2671
25,27,-30.0480,-1.1129,2.1798,2.1805,2.3183
26,27,-30.7260,-1.1380,2.2097,2.1582,2.3278
27,27,-38.4180,-1.4229,2.1767,2.0734,2.3028
28,27,-27.2720,-1.0101,2.1624,2.1169,2.3256
29,27,-46.1220,-1.7082,2.1123,2.1198,2.2930
30,27,-34.9220,-1.2934,2.1858,2.1136,2.2612
31,27,-22.9980,-0.8518,2.2215,2.1193,2.3424
32,27,-37.8960,-1.4036,2.2136,2.1290,2.3615
33,27,-27.6620,-1.0245,2.2404,2.2045,2.3697
34,27,-40.0660,-1.4839,2.3226,2.1834,2.3111
35,27,-43.5860,-1.6143,2.2914,2.2247,2.3023
36,27,-22.1760,-0.8213,2.2846,2.2639,2.3186
37,27,-27.8720,-1.0323,2.2672,2.3108,2.3351
38,27,-21.2720,-0.7879,2.2119,2.3156,2.3096
39,27,-32.6500,-1.2093,2.2730,2.2910,2.2957
40,27,-15.8100,-0.5856,2.2314,2.2861,2.3123
41,27,-36.7920,-1.3627,2.2377,2.2932,2.2973
42,27,-14.8800,-0.5511,2.2976,2.2465,2.2486
43,27,-24.6460,-0.9128,2.3694,2.1938,2.2429
44,27,-43.7360,-1.6199,2.3125,2.2775,2.2486
45,27,-30.0000,-1.1111,2.3355,2.2756,2.3114
46,27,-28.1840,-1.0439,2.2979,2.2254,2.3167
47,27,-38.5140,-1.4264,2.2854,2.1516,2.2673
48,27,-33.7240,-1.2490,2.3165,2.1328,2.2202
49,27,-4.7540,-0.1761,2.3675,2.1360,2.2257
50,27,-47.9440,-1.7757,2.3545,2.2743,2.2097
51,27,-32.3920,-1.1997,2.3426,2.3035,2.1600
52,27,-46.4880,-1.7218,2.2333,2.3221,2.1219
53,27,-29.8620,-1.1060,2.1323,2.2959,2.0972
54,27,-41.2840,-1.5290,2.1226,2.2552,2.0987
55,27,-30.6000,-1.1333,2.0699,2.2728,2.0169
56,27,-17.8420,-0.6608,2.1704,2.2765,2.0169
57,27,-42.1880,-1.5625,2.2226,2.3108,1.9908
58,27,-20.8520,-0.7723,2.2152,2.3542,2.0106
59,27,-40.3840,-1.4957,2.1194,2.3639,2.0237
60,27,-37.6500,-1.3944,2.1200,2.2817,2.0050
61,27,-28.4180,-1.0525,2.2097,2.1749,2.0134
62,27,-47.9200,-1.7748,2.2386,2.2066,1.9939
63,27,-50.5760,-1.8732,2.2241,2.2258,2.0224
64,27,-40.1980,-1.4888,2.2106,2.2852,2.0417
65,27,-33.4060,-1.2373,2.2451,2.2580,2.0118
66,27,-27.7040,-1.0261,2.2369,2.2774,1.9883
67,27,-30.2940,-1.1220,2.2014,2.2197,2.0549
68,27,-35.6780,-1.3214,2.2063,2.2057,2.1089
69,27,-48.8140,-1.8079,2.1996,2.1907,2.0683
70,27,-23.5260,-0.8713,2.1896,2.1392,2.0502
71,27,-35.3360,-1.3087,2.1213,2.2344,2.0612
72,27,-40.8520,-1.5130,2.1017,2.2113,2.1030
73,27,-33.1540,-1.2279,2.1544,2.2069,2.1165
