circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.1000,0.0000,0.1000
default,mask_default,c,-0.3000,0.0000,-0.3000
default,mask_default,e,0.0000,0.0000,0.0000
default,mask_default,a,0.5000,0.0000,0.5000
default,mask_default,n,-0.4000,0.0000,-0.4000
work,mask_work,o,0.1000,0.0000,0.1000
work,mask_work,c,-0.3000,0.0000,-0.3000
work,mask_work,e,0.0000,0.0000,0.0000
work,mask_work,a,0.5000,0.0000,0.5000
work,mask_work,n,-0.4000,0.0000,-0.4000
home,mask_home,o,0.1000,0.0000,0.1000
home,mask_home,c,-0.3000,0.0000,-0.3000
home,mask_home,e,0.0000,0.0000,0.0000
home,mask_home,a,0.5000,0.0000,0.5000
home,mask_home,n,-0.4000,0.0000,-0.4000
conference,mask_conference,o,0.1000,0.0000,0.1000
conference,mask_conference,c,-0.3000,0.0000,-0.3000
conference,mask_conference,e,0.0000,0.0000,0.0000
conference,mask_conference,a,0.5000,0.0000,0.5000
conference,mask_conference,n,-0.4000,0.0000,-0.4000
