partner,style,share
carol,drop_everything,0.3157
carol,help_after_task,0.0130
carol,pair_up,0.2315
carol,teach,0.0935
carol,quick_tip,0.0861
carol,delegate,0.0000
carol,joke_deflect,0.2602
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.2833
dave,help_after_task,0.0185
dave,pair_up,0.2481
dave,teach,0.1111
dave,quick_tip,0.0954
dave,delegate,0.0000
dave,joke_deflect,0.2435
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.3157
bob,help_after_task,0.0176
bob,pair_up,0.2278
bob,teach,0.0935
bob,quick_tip,0.0981
bob,delegate,0.0000
bob,joke_deflect,0.2472
bob,polite_decline,0.0000
bob,ignore,0.0000
