circumstance,style,early_pct,late_pct,shift
work,drop_everything,0.3056,0.3148,0.0093
work,help_after_task,0.0093,0.0093,0.0000
work,pair_up,0.1898,0.2269,0.0370
work,teach,0.0972,0.1204,0.0231
work,quick_tip,0.1111,0.0880,-0.0231
work,delegate,0.0000,0.0000,0.0000
work,joke_deflect,0.2870,0.2407,-0.0463
work,polite_decline,0.0000,0.0000,0.0000
work,ignore,0.0000,0.0000,0.0000
home,drop_everything,0.3148,0.2963,-0.0185
home,help_after_task,0.0278,0.0231,-0.0046
home,pair_up,0.2269,0.2963,0.0694
home,teach,0.1111,0.0741,-0.0370
home,quick_tip,0.0694,0.0648,-0.0046
home,delegate,0.0000,0.0000,0.0000
home,joke_deflect,0.2500,0.2454,-0.0046
home,polite_decline,0.0000,0.0000,0.0000
home,ignore,0.0000,0.0000,0.0000
conference,drop_everything,0.2917,0.3148,0.0231
conference,help_after_task,0.0139,0.0231,0.0093
conference,pair_up,0.2176,0.1991,-0.0185
conference,teach,0.0787,0.0833,0.0046
conference,quick_tip,0.1019,0.1111,0.0093
conference,delegate,0.0000,0.0000,0.0000
conference,joke_deflect,0.2963,0.2685,-0.0278
conference,polite_decline,0.0000,0.0000,0.0000
conference,ignore,0.0000,0.0000,0.0000
