config,agent,context,formal,casual,enthusiastic,quiet,entropy
"1. plan as written (compat, NO QRE)",alice,work,0.0002,0.9994,0.0003,0.0002,0.0040
"1. plan as written (compat, NO QRE)",alice,home,0.0002,0.9995,0.0002,0.0002,0.0038
"1. plan as written (compat, NO QRE)",alice,concert,0.0002,0.0009,0.9988,0.0002,0.0075
"1. plan as written (compat, NO QRE)",bob,work,0.0003,0.9994,0.0002,0.0002,0.0039
"1. plan as written (compat, NO QRE)",bob,home,0.0002,0.9995,0.0002,0.0002,0.0033
"1. plan as written (compat, NO QRE)",bob,concert,0.0002,0.0010,0.9987,0.0002,0.0077
"1. plan as written (compat, NO QRE)",cara,work,0.0002,0.9995,0.0002,0.0002,0.0033
"1. plan as written (compat, NO QRE)",cara,home,0.0002,0.9995,0.0002,0.0002,0.0038
"1. plan as written (compat, NO QRE)",cara,concert,0.0002,0.0008,0.9989,0.0002,0.0068
"1. plan as written (compat, NO QRE)",dan,work,0.0002,0.9995,0.0002,0.0002,0.0033
"1. plan as written (compat, NO QRE)",dan,home,0.0002,0.9995,0.0002,0.0002,0.0033
"1. plan as written (compat, NO QRE)",dan,concert,0.0002,0.0010,0.9986,0.0002,0.0081
"1. plan as written (compat, NO QRE)",eve,work,0.0003,0.9994,0.0002,0.0002,0.0040
"1. plan as written (compat, NO QRE)",eve,home,0.0002,0.9994,0.0003,0.0002,0.0041
"1. plan as written (compat, NO QRE)",eve,concert,0.0002,0.0006,0.9991,0.0002,0.0060
"2. plan + QRE (compat, tau=0.15)",alice,work,0.0007,0.9626,0.0343,0.0024,0.1239
"2. plan + QRE (compat, tau=0.15)",alice,home,0.0001,0.9951,0.0048,0.0001,0.0229
"2. plan + QRE (compat, tau=0.15)",alice,concert,0.0000,0.0009,0.9991,0.0000,0.0054
"2. plan + QRE (compat, tau=0.15)",bob,work,0.0007,0.9625,0.0344,0.0024,0.1241
"2. plan + QRE (compat, tau=0.15)",bob,home,0.0001,0.9951,0.0048,0.0001,0.0229
"2. plan + QRE (compat, tau=0.15)",bob,concert,0.0000,0.0009,0.9991,0.0000,0.0055
"2. plan + QRE (compat, tau=0.15)",cara,work,0.0007,0.9626,0.0344,0.0024,0.1240
"2. plan + QRE (compat, tau=0.15)",cara,home,0.0001,0.9951,0.0048,0.0001,0.0228
"2. plan + QRE (compat, tau=0.15)",cara,concert,0.0000,0.0009,0.9991,0.0000,0.0055
"2. plan + QRE (compat, tau=0.15)",dan,work,0.0007,0.9626,0.0344,0.0024,0.1240
"2. plan + QRE (compat, tau=0.15)",dan,home,0.0001,0.9951,0.0048,0.0001,0.0229
"2. plan + QRE (compat, tau=0.15)",dan,concert,0.0000,0.0009,0.9991,0.0000,0.0055
"2. plan + QRE (compat, tau=0.15)",eve,work,0.0007,0.9625,0.0344,0.0024,0.1241
"2. plan + QRE (compat, tau=0.15)",eve,home,0.0001,0.9951,0.0048,0.0001,0.0229
"2. plan + QRE (compat, tau=0.15)",eve,concert,0.0000,0.0009,0.9991,0.0000,0.0054
"3. plan + authenticity (compat, NO QRE)",alice,work,0.9995,0.0002,0.0002,0.0002,0.0034
"3. plan + authenticity (compat, NO QRE)",alice,home,0.0004,0.9993,0.0002,0.0002,0.0047
"3. plan + authenticity (compat, NO QRE)",alice,concert,0.0002,0.9978,0.0019,0.0002,0.0122
"3. plan + authenticity (compat, NO QRE)",bob,work,0.9993,0.0002,0.0002,0.0004,0.0048
"3. plan + authenticity (compat, NO QRE)",bob,home,0.9979,0.0002,0.0002,0.0018,0.0117
"3. plan + authenticity (compat, NO QRE)",bob,concert,0.9979,0.0002,0.0002,0.0018,0.0117
"3. plan + authenticity (compat, NO QRE)",cara,work,0.9992,0.0003,0.0004,0.0002,0.0053
"3. plan + authenticity (compat, NO QRE)",cara,home,0.0002,0.9994,0.0003,0.0002,0.0044
"3. plan + authenticity (compat, NO QRE)",cara,concert,0.0002,0.9988,0.0009,0.0002,0.0074
"3. plan + authenticity (compat, NO QRE)",dan,work,0.9993,0.0002,0.0002,0.0004,0.0046
"3. plan + authenticity (compat, NO QRE)",dan,home,0.9899,0.0062,0.0002,0.0037,0.0459
"3. plan + authenticity (compat, NO QRE)",dan,concert,0.9919,0.0005,0.0022,0.0055,0.0385
"3. plan + authenticity (compat, NO QRE)",eve,work,0.9995,0.0002,0.0002,0.0002,0.0033
"3. plan + authenticity (compat, NO QRE)",eve,home,0.9886,0.0109,0.0002,0.0003,0.0467
"3. plan + authenticity (compat, NO QRE)",eve,concert,0.9990,0.0002,0.0002,0.0006,0.0063
"4. plan + authenticity + QRE (compat)",alice,work,0.9919,0.0051,0.0027,0.0004,0.0387
"4. plan + authenticity + QRE (compat)",alice,home,0.0408,0.9153,0.0403,0.0036,0.2604
"4. plan + authenticity + QRE (compat)",alice,concert,0.0262,0.9575,0.0129,0.0034,0.1534
"4. plan + authenticity + QRE (compat)",bob,work,0.9992,0.0000,0.0000,0.0008,0.0048
"4. plan + authenticity + QRE (compat)",bob,home,0.7871,0.0004,0.0000,0.2124,0.3756
"4. plan + authenticity + QRE (compat)",bob,concert,0.7264,0.0002,0.0000,0.2733,0.4247
"4. plan + authenticity + QRE (compat)",cara,work,0.6972,0.1303,0.1718,0.0008,0.5952
"4. plan + authenticity + QRE (compat)",cara,home,0.0011,0.9007,0.0980,0.0003,0.2391
"4. plan + authenticity + QRE (compat)",cara,concert,0.0007,0.9669,0.0320,0.0003,0.1085
"4. plan + authenticity + QRE (compat)",dan,work,0.9987,0.0000,0.0000,0.0013,0.0070
"4. plan + authenticity + QRE (compat)",dan,home,0.6647,0.0522,0.0004,0.2827,0.5669
"4. plan + authenticity + QRE (compat)",dan,concert,0.6171,0.0241,0.0004,0.3584,0.5470
"4. plan + authenticity + QRE (compat)",eve,work,0.9997,0.0000,0.0000,0.0003,0.0018
"4. plan + authenticity + QRE (compat)",eve,home,0.7807,0.1467,0.0084,0.0642,0.4987
"4. plan + authenticity + QRE (compat)",eve,concert,0.7581,0.1389,0.0128,0.0902,0.5459
"5. anti-coordination reward, NO QRE",alice,work,0.0072,0.0002,0.0032,0.9894,0.0477
"5. anti-coordination reward, NO QRE",alice,home,0.0002,0.0002,0.9923,0.0073,0.0339
"5. anti-coordination reward, NO QRE",alice,concert,0.0002,0.0002,0.9994,0.0002,0.0038
"5. anti-coordination reward, NO QRE",bob,work,0.9994,0.0002,0.0002,0.0003,0.0041
"5. anti-coordination reward, NO QRE",bob,home,0.8473,0.0852,0.0574,0.0100,0.4043
"5. anti-coordination reward, NO QRE",bob,concert,0.0002,0.0002,0.9995,0.0002,0.0038
"5. anti-coordination reward, NO QRE",cara,work,0.0002,0.0012,0.0002,0.9984,0.0092
"5. anti-coordination reward, NO QRE",cara,home,0.0024,0.0011,0.0010,0.9955,0.0240
"5. anti-coordination reward, NO QRE",cara,concert,0.0007,0.0606,0.0006,0.9381,0.1729
"5. anti-coordination reward, NO QRE",dan,work,0.0005,0.9975,0.0003,0.0017,0.0144
"5. anti-coordination reward, NO QRE",dan,home,0.0003,0.9367,0.0620,0.0010,0.1753
"5. anti-coordination reward, NO QRE",dan,concert,0.0002,0.9990,0.0004,0.0005,0.0067
"5. anti-coordination reward, NO QRE",eve,work,0.9956,0.0015,0.0010,0.0019,0.0235
"5. anti-coordination reward, NO QRE",eve,home,0.0002,0.9995,0.0002,0.0002,0.0033
"5. anti-coordination reward, NO QRE",eve,concert,0.0004,0.0006,0.9980,0.0010,0.0117
"6. anti-coordination + authenticity, NO QRE",alice,work,0.0005,0.9980,0.0014,0.0002,0.0117
"6. anti-coordination + authenticity, NO QRE",alice,home,0.0002,0.9985,0.0012,0.0002,0.0090
"6. anti-coordination + authenticity, NO QRE",alice,concert,0.0002,0.0004,0.9993,0.0002,0.0049
"6. anti-coordination + authenticity, NO QRE",bob,work,0.0021,0.0002,0.0002,0.9975,0.0132
"6. anti-coordination + authenticity, NO QRE",bob,home,0.9963,0.0002,0.0002,0.0034,0.0184
"6. anti-coordination + authenticity, NO QRE",bob,concert,0.9901,0.0002,0.0002,0.0096,0.0413
"6. anti-coordination + authenticity, NO QRE",cara,work,0.0002,0.0065,0.9932,0.0002,0.0303
"6. anti-coordination + authenticity, NO QRE",cara,home,0.0002,0.0017,0.9980,0.0002,0.0114
"6. anti-coordination + authenticity, NO QRE",cara,concert,0.0002,0.0006,0.9991,0.0002,0.0060
"6. anti-coordination + authenticity, NO QRE",dan,work,0.9989,0.0002,0.0002,0.0007,0.0069
"6. anti-coordination + authenticity, NO QRE",dan,home,0.0008,0.0018,0.0002,0.9972,0.0155
"6. anti-coordination + authenticity, NO QRE",dan,concert,0.0007,0.0002,0.0002,0.9990,0.0062
"6. anti-coordination + authenticity, NO QRE",eve,work,0.9921,0.0002,0.0002,0.0076,0.0344
"6. anti-coordination + authenticity, NO QRE",eve,home,0.0011,0.9712,0.0168,0.0109,0.1108
"6. anti-coordination + authenticity, NO QRE",eve,concert,0.0002,0.9948,0.0048,0.0002,0.0248
